SMILES,InChI,LogP
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,"InChI=1S/C10Cl10O/c11-2-1(21)3(12)6(15)4(2,13)8(17)5(2,14)7(3,16)9(6,18)10(8,19)20",5.41
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,"InChI=1S/C10Cl12/c11-1-2(12)7(17)4(14)3(13,5(1,15)9(7,19)20)6(1,16)10(21,22)8(2,4)18",6.89
OCC1CC(F)C(n2cnc3c(Br)ncnc32)O1,"InChI=1S/C10H10BrFN4O2/c11-8-7-9(14-3-13-8)16(4-15-7)10-6(12)1-5(2-17)18-10/h3-6,10,17H,1-2H2",0.44
COc1ccc(Br)cc1-c1nc(=N)[nH]c(=N)[nH]1,"InChI=1S/C10H10BrN5O/c1-17-7-3-2-5(11)4-6(7)8-14-9(12)16-10(13)15-8/h2-4H,1H3,(H4,12,13,14,15,16)",1.53
CC(O)=Nc1ccc(OC(=O)CBr)cc1,"InChI=1S/C10H10BrNO3/c1-7(13)12-8-2-4-9(5-3-8)15-10(14)6-11/h2-5H,6H2,1H3,(H,12,13)",1.08
O=C(O)CCCOc1ccc(Cl)cc1Cl,"InChI=1S/C10H10Cl2O3/c11-7-3-4-9(8(12)6-7)15-5-1-2-10(13)14/h3-4,6H,1-2,5H2,(H,13,14)",3.53
COP(=O)(OC)O/C(=C\Cl)c1ccc(Cl)cc1Cl,"InChI=1S/C10H10Cl3O4P/c1-15-18(14,16-2)17-10(6-11)8-4-3-7(12)5-9(8)13/h3-6H,1-2H3/b10-6-",3.13
ClC=C1C2C(Cl)C(Cl)C(C2Cl)C1(CCl)CCl,"InChI=1S/C10H10Cl6/c11-1-4-5-7(14)6(9(16)8(5)15)10(4,2-12)3-13/h1,5-9H,2-3H2",5.35
ClC=C1C2CC(C(Cl)C2Cl)C1(CCl)C(Cl)Cl,"InChI=1S/C10H10Cl6/c11-2-6-4-1-5(8(14)7(4)13)10(6,3-12)9(15)16/h2,4-5,7-9H,1,3H2",5.45
ClC=C1C2CC(C(Cl)C2(Cl)Cl)C1(CCl)CCl,"InChI=1S/C10H10Cl6/c11-2-7-5-1-6(8(14)10(5,15)16)9(7,3-12)4-13/h2,5-6,8H,1,3-4H2",5.2
CC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(C(Cl)Cl)CC2(Cl)Cl,"InChI=1S/C10H10Cl8/c1-7(5(11)12)4-2-10(17,18)8(7,6(13)14)3-9(4,15)16/h4-6H,2-3H2,1H3",5.9
CC1(C(Cl)Cl)C2C(Cl)C(Cl)C1(C(Cl)Cl)C(Cl)C2Cl,"InChI=1S/C10H10Cl8/c1-9(7(15)16)2-3(11)5(13)10(9,8(17)18)6(14)4(2)12/h2-8H,1H3",5.52
ClCC1(CCl)C2C(Cl)C(Cl)C1(CCl)C(Cl)(Cl)C2Cl,"InChI=1S/C10H10Cl8/c11-1-8(2-12)4-5(14)7(16)9(8,3-13)10(17,18)6(4)15/h4-7H,1-3H2",5.74
ClCC1(C(Cl)Cl)C2C(Cl)CC1(C(Cl)Cl)C(Cl)C2Cl,"InChI=1S/C10H10Cl8/c11-2-10(8(17)18)4-3(12)1-9(10,7(15)16)6(14)5(4)13/h3-8H,1-2H2",5.19
ClCC1(CCl)C2CC(Cl)(Cl)C1(C(Cl)Cl)CC2(Cl)Cl,"InChI=1S/C10H10Cl8/c11-3-7(4-12)5-1-10(17,18)8(7,6(13)14)2-9(5,15)16/h5-6H,1-4H2",5.79
ClCC1(C(Cl)Cl)C2CC(Cl)C1(C(Cl)Cl)CC2(Cl)Cl,"InChI=1S/C10H10Cl8/c11-3-9(7(15)16)4-1-5(12)8(9,6(13)14)2-10(4,17)18/h4-7H,1-3H2",5.75
OCC1CC(F)C(n2cnc3c(Cl)ncnc32)O1,"InChI=1S/C10H10ClFN4O2/c11-8-7-9(14-3-13-8)16(4-15-7)10-6(12)1-5(2-17)18-10/h3-6,10,17H,1-2H2",0.32
O=[N+]([O-])C=C1SCCN1Cc1ccc(Cl)nc1,"InChI=1S/C10H10ClN3O2S/c11-9-2-1-8(5-12-9)6-13-3-4-17-10(13)7-14(15)16/h1-2,5,7H,3-4,6H2",0.65
N#CNC1=NCCN1Cc1cnccc1Cl,"InChI=1S/C10H10ClN5/c11-9-1-2-13-5-8(9)6-16-4-3-14-10(16)15-7-12/h1-2,5H,3-4,6H2,(H,14,15)",0.77
