SMILES,LogP
C=O,0.35
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.885
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C,2.19
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,2.1
CC1C(=O)C2=C([C@@H](COC(N)=O)[C@@]3(OC)[C@H]4N[C@H]4CN32)C(=O)C=1N,-0.4
CN1C(=O)NC(=O)C(CC)(CC)C1=O,1.15
CCC1(NC(=O)N(C)C1=O)c1ccccc1,1.69
O=P1(NCCCO1)N(CCCl)CCCl,0.63
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@H](CC[C@H]21)C(=O)CO,1.94
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1.61
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1.62
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1C[C@@H](O)[C@@H]2O,2.45
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,6.91
OC(=O)c1c(Cl)cccc1Cl,2.23
c1c2ccccc2c2ccc3cccc4ccc1c2c34,6.13
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.16
COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)[N@@]2C,2.3
CN1C[C@@H](C=C2[C@H]1Cc1c[nH]c3cccc2c31)C(=O)N(CC)CC,2.95
S=C1NC=Nc2[nH]c[n]c21,0.01
CNCCCN1c2ccccc2CCc2ccccc12,4.9
CN(C)CCCN1c2ccccc2CCc2ccccc12,4.8
CN1CCCCC1CCN1c2cc(ccc2Sc2ccccc12)SC,5.9
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,5.41
[O-]C(=O)C1=C(CS[C@@H]2[C@H](NC(=O)Cc3ccc[s]3)C(=O)N12)C[n+]1ccccc1,-1.62
O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)CO,-2.8
O=C1NC(=O)C(=O)C(=O)N1,-1.84
CC(=O)Oc1ccccc1C(O)=O,1.19
O[C@@H](CO)[C@H]1OC(=O)C(O)=C1O,-1.85
Cc1cc(O)c(cc1)C(O)=O,2.99
CC(=O)Nc1ccc(c(O)c1)C(O)=O,1.62
CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,-0.93
Cl.C[C@H](NC)[C@H](O)c1ccccc1,-2.45
OCC1C(O)C(O)C(O)C(O)O1,-3.24
CCCc1cc2OCOc2cc1COCCOCCOCCCC,4.75
CCN(CCNC(=O)c1ccc(N)cc1)CC,0.88
c1[nH]c2ccccc2[n]1,1.32
O=C1NC=C(Br)C(=O)N1,-0.21
O=C1NC=C(F)C(=O)N1,-0.89
[O-][N+](=O)c1cc(ccc1O)[N+]([O-])=O,1.67
CN1[C@@H]2C[C@H](C[C@H]1[C@@H]1O[C@@H]12)OC(=O)[C@H](CO)c1ccccc1,0.98
OC(=O)c1cc(Cl)cc(Cl)c1,3.0
NC[C@H](O)c1cc(O)c(O)cc1,-1.24
OC(=O)c1cc(Cl)c(Cl)cc1,3.25
NCCc1c[n]c[nH]1,-0.7
CN1[C@@H]2C[C@H](C[C@H]1CC2)OC(=O)C(CO)c1ccccc1,1.83
NCCc1cc(O)c(O)cc1,-0.98
CC(=O)Nc1ccc(cc1)OC,1.03
CN(CCCl)CCCl,0.91
CCOC(N)=O,-0.15
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,2.4
S=P(N1CC1)(N1CC1)N1CC1,0.53
COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C.OP(O)(O)=O,-1.4
CCC1(C2CCCCC=2)C(=O)NC(=O)NC1=O,1.77
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1.15
C1(=O)NC(=O)C2(CCCCC2)C(=O)N1,0.91
O=C1NC(=S)NC(=O)C21CCCCC2,1.78
NC1(CCCC1)C(O)=O,-2.28
CC(C)(S)[C@@H](N)C(O)=O,-1.78
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0.51
CN(C)S(=O)(=O)c1ccc(cc1)OP(=S)(OC)OC,2.23
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,4.3
N[C@@H](CS)C(O)=O,-2.49
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,1.46
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,1.47
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CCC2=O,3.13
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,3.23
Cl.CN(C)CCCN1c2ccccc2Sc2ccccc12,2.94
c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,6.75
CN(C)c1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@H](CO)[C@@H](NC(=O)[C@@H](N)Cc2ccc(cc2)OC)[C@H]1O,0.03
COc1c(cc(CCN)cc1OC)OC,0.78
CC(CCCN(CC)CC)Nc1cc[n]c2cc(Cl)ccc21,4.63
CN1CCC[C@H]1c1c[n]ccc1,1.17
NC(Cc1c[nH]c2ccccc21)C(O)=O,-1.055
[Na+].[O-]C(=O)c1ccccc1O,-1.43
OCC1OC(C(O)C1O)N2N=CC(=O)NC2=O,-2.14
NS(=O)(=O)c1cc(C(O)=O)c(cc1Cl)NCc1ccco1,2.03
Cc1cc(OCCN(C)C)c(cc1OC(C)=O)C(C)C,3.17
C[C@H](N)[C@H](O)c1cc(O)ccc1,-0.27
CC(C)NCC(O)c1ccc2ccccc2c1,3.0
NNC(=O)c1cc[n]cc1,-0.7
O=C(CCBr)N1CCN(CC1)C(=O)CCBr,0.42
C1CCCC[n]2[n][n][n]c21,0.14
CCN(CC)N=O,0.48
NC(=O)c1ccccc1,0.64
OC(=O)c1cc[n]cc1,0.32
N=C(NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,0.08
[O-][N+](=O)OC(CO[N+]([O-])=O)CO[N+]([O-])=O,1.62
CC(C)OP(=O)(F)OC(C)C,1.17
CS(=O)(=O)OCCCCOS(C)(=O)=O,-0.52
ClC(Cl)(Cl)Cl,2.83
CN1C(O)=NC(=O)C(C)(C2CCCCC=2)C1=O,1.98
[Cl-].CC[N+](CC)(CC)CC,-3.15
CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,3.83
O=C(O)C(N)C,-2.905
O=C(O)C(N)CO,-3.07
CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.08
Cc1ccc2cc3c(ccc4ccccc43)c3CCc1c32,6.42
COc1ccc2[n]ccc([C@H](O)[C@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)c2c1,3.44
c1c2c3ccccc3ccc2cc2ccccc21,5.76
[O-][n+]1ccc(c2ccccc12)[N+]([O-])=O,1.09
CC1c2ccc(cc2OC(=O)C=1Cl)OP(=S)(OCC)OCC,4.13
OC(CO)CO,-1.76
N[C@@H](CC(O)=O)C(O)=O,-3.89
NC(=O)CC[C@H](N)C(O)=O,-3.64
N[C@@H](CCC(O)=O)C(O)=O,-3.69
NCc1ccc(cc1)C(O)=O,1.03
[Cl-].C[N+](C)(C)Cc1ccccc1,-2.17
CCCCCCCCCCCCCCCC(O)=O,7.17
NC(N)=O,-2.11
CC(C)(O)C(Cl)(Cl)Cl,2.03
O=C1C[C@@H]2OCC=C3CN4CC[C@]56[C@H]([C@H]2[C@H]3C[C@@H]54)N1c1ccccc61,1.93
O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1,2.47
CCOC(=O)C1(CCN(C)CC1)c1ccccc1,2.72
