SMILES,InChI,logS,source
ClCC(Cl)(Cl)Cl,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2",-2.18,Delaney
CC(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",-2.0,Delaney
ClC(Cl)C(Cl)Cl,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,-1.74,Delaney
ClCC(Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",-1.48,Delaney
FC(F)(Cl)C(F)(Cl)Cl,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",-3.04,Delaney
CC(Cl)Cl,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",-1.29,Delaney
ClC(=C)Cl,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,-1.64,Delaney
CCOC(C)OCC,"InChI=1S/C6H14O2/c1-4-7-6(3)8-5-2/h6H,4-5H2,1-3H3",-0.43,Delaney
Clc1ccc(Cl)c(Cl)c1Cl,InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H,-4.57,Delaney
C1CCc2ccccc2C1,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",-4.37,Delaney
Clc1cc(Cl)c(Cl)c(Cl)c1,InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)5(9)2-3/h1-2H,-4.63,Delaney
Clc1cccc(Cl)c1Cl,InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H,-4.0,Delaney
Cc1cccc(C)c1C,"InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3",-3.2,Delaney
Brc1cc(Br)c(Br)cc1Br,InChI=1S/C6H2Br4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,-6.98,Delaney
Clc1cc(Cl)c(Cl)cc1Cl,InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,-5.56,Delaney
Cc1cc(C)c(C)cc1C,"InChI=1S/C10H14/c1-7-5-9(3)10(4)6-8(7)2/h5-6H,1-4H3",-4.59,Delaney
c1(Br)c(Br)cc(Br)cc1,InChI=1S/C6H3Br3/c7-4-1-2-5(8)6(9)3-4/h1-3H,-4.5,Delaney
Clc1ccc(Cl)c(Cl)c1,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,-3.59,Delaney
Cc1ccc(C)c(C)c1,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",-3.31,Delaney
Oc1ccccc1O,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",0.62,Delaney
Brc1ccccc1Br,InChI=1S/C6H4Br2/c7-5-3-1-2-4-6(5)8/h1-4H,-3.5,Delaney
BrCCBr,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,-1.68,Delaney
Clc1ccccc1Cl,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,-3.05,Delaney
ClCCCl,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,-1.06,Delaney
CC(Cl)CCl,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",-1.6,Delaney
FC(F)(Cl)C(F)(F)Cl,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8",-2.74,Delaney
CCOCCOCC,"InChI=1S/C6H14O2/c1-3-7-5-6-8-4-2/h3-6H2,1-2H3",-0.77,Delaney
CCc1ccccc1CC,"InChI=1S/C10H14/c1-3-9-7-5-6-8-10(9)4-2/h5-8H,3-4H2,1-2H3",-3.28,Delaney
O=N(=O)c1ccccc1N(=O)=O,InChI=1S/C6H4N2O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,-3.1,Delaney
CC1CO1,"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3",-0.59,Delaney
Brc1cc(Br)cc(Br)c1,InChI=1S/C6H3Br3/c7-4-1-5(8)3-6(9)2-4/h1-3H,-5.6,Delaney
Clc1cc(Cl)cc(Cl)c1,InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H,-4.48,Delaney
Cc1cc(C)cc(C)c1,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",-3.4,Delaney
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,InChI=1S/C6H3N3O6/c10-7(11)4-1-5(8(12)13)3-6(2-4)9(14)15/h1-3H,-2.89,Delaney
Oc1cccc(O)c1,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",0.81,Delaney
C=CC=C,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",-1.87,Delaney
Brc1cccc(Br)c1,InChI=1S/C6H4Br2/c7-5-2-1-3-6(8)4-5/h1-4H,-3.54,Delaney
Clc1cccc(Cl)c1,InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H,-3.04,Delaney
ClCCCCl,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2,-1.62,Delaney
CCNC(=S)NCC,"InChI=1S/C5H12N2S/c1-3-6-5(8)7-4-2/h3-4H2,1-2H3,(H2,6,7,8)",-1.46,Delaney
Fc1cccc(F)c1,InChI=1S/C6H4F2/c7-5-2-1-3-6(8)4-5/h1-4H,-2.0,Delaney
Cc1cc(C)c2ccccc2c1,"InChI=1S/C12H12/c1-9-7-10(2)12-6-4-3-5-11(12)8-9/h3-8H,1-2H3",-4.29,Delaney
O=N(=O)c1cccc(c1)N(=O)=O,InChI=1S/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,-2.29,Delaney
Oc1ccc(O)cc1,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H",-0.17,Delaney
C1C=CCC=C1,"InChI=1S/C6H8/c1-2-4-6-5-3-1/h1-2,5-6H,3-4H2",-2.06,Delaney
Brc1ccc(Br)cc1,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,-4.07,Delaney
Clc1ccc(Cl)cc1,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,-3.27,Delaney
CCc1ccc(CC)cc1,"InChI=1S/C10H14/c1-3-9-5-7-10(4-2)8-6-9/h5-8H,3-4H2,1-2H3",-3.75,Delaney
Fc1ccc(F)cc1,InChI=1S/C6H4F2/c7-5-1-2-6(8)4-3-5/h1-4H,-1.97,Delaney
Cc1ccc(C)c2ccccc12,"InChI=1S/C12H12/c1-9-7-8-10(2)12-6-4-3-5-11(9)12/h3-8H,1-2H3",-4.14,Delaney
O=N(=O)c1ccc(cc1)N(=O)=O,InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,-3.39,Delaney
C=CCC=C,"InChI=1S/C5H8/c1-3-5-4-2/h3-4H,1-2,5H2",-2.09,Delaney
Cc1cccc2c(C)cccc12,"InChI=1S/C12H12/c1-9-5-3-8-12-10(2)6-4-7-11(9)12/h3-8H,1-2H3",-4.678999999999999,Delaney
C=CCCC=C,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2",-2.68,Delaney
c1cnc2c(c1)ccc3ncccc23,InChI=1S/C12H8N2/c1-3-9-5-6-11-10(4-2-7-13-11)12(9)14-8-1/h1-8H,-2.68,Delaney
CC12CCC(CC1)C(C)(C)O2,"InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3",-1.74,Delaney
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,"InChI=1S/C20H30O2/c1-18-9-6-14(21)12-13(18)4-5-15-16(18)7-10-19(2)17(15)8-11-20(19,3)22/h12,15-17,22H,4-11H2,1-3H3",-3.9989999999999997,Delaney
Nc2cccc3nc1ccccc1cc23 ,"InChI=1S/C13H10N2/c14-11-5-3-7-13-10(11)8-9-4-1-2-6-12(9)15-13/h1-8H,14H2",-4.22,Delaney
CC(C)CBr,"InChI=1S/C4H9Br/c1-4(2)3-5/h4H,3H2,1-2H3",-2.43,Delaney
CCCCBr,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",-2.37,Delaney
CCCCCCCBr,"InChI=1S/C7H15Br/c1-2-3-4-5-6-7-8/h2-7H2,1H3",-4.43,Delaney
CCCCCCBr,"InChI=1S/C6H13Br/c1-2-3-4-5-6-7/h2-6H2,1H3",-3.81,Delaney
Brc1cccc2ccccc12,InChI=1S/C10H7Br/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,-4.35,Delaney
CCCCCCCCBr,"InChI=1S/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",-5.06,Delaney
CCCCCBr,"InChI=1S/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3",-3.08,Delaney
CCCBr,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3",-1.73,Delaney
CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",0.0,Delaney
CCC=C,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",-1.94,Delaney
CCC#C,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3",-1.24,Delaney
ClCCBr,InChI=1S/C2H4BrCl/c3-1-2-4/h1-2H2,-1.32,Delaney
ClCC(C)C,"InChI=1S/C4H9Cl/c1-4(2)3-5/h4H,3H2,1-2H3",-2.0,Delaney
CCCCCl,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",-2.03,Delaney
CCCCCCCCl,"InChI=1S/C7H15Cl/c1-2-3-4-5-6-7-8/h2-7H2,1H3",-4.0,Delaney
CCCCCCCl,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",-3.12,Delaney
Clc1cccc2ccccc12,InChI=1S/C10H7Cl/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,-3.93,Delaney
CCCCCCl,"InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3",-2.73,Delaney
CCCCl,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3",-1.47,Delaney
CCCCCCCCCCO,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",-3.63,Delaney
CCCCCCCCC=C,"InChI=1S/C10H20/c1-3-5-7-9-10-8-6-4-2/h3H,1,4-10H2,2H3",-5.51,Delaney
CCCCCCCCCCCCO,"InChI=1S/C12H26O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h13H,2-12H2,1H3",-4.8,Delaney
CCc1cccc2ccccc12,"InChI=1S/C12H12/c1-2-10-7-5-8-11-6-3-4-9-12(10)11/h3-9H,2H2,1H3",-4.17,Delaney
