SMILES,InChI,logS,source
CC(N)=O,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",1.58,adme
CNN,"InChI=1S/CH6N2/c1-3-2/h3H,2H2,1H3",1.34,adme
CC(O)=O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",1.22,adme
C1CCCN1,"InChI=1S/C4H9N/c1-2-4-5-3-1/h5H,1-4H2",1.15,adme
NC([NH]O)=O,"InChI=1S/CH4N2O2/c2-1(4)3-5/h5H,(H3,2,3,4)",1.12,adme
OC(CO)CO,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",1.12,adme
CC(N(C)C)=O,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,1.11,adme
c1cccnn1,InChI=1S/C4H4N2/c1-2-4-6-5-3-1/h1-4H,1.1,adme
c1ccncn1,InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H,1.1,adme
OC(CO)C(O)C(O)C(O)CO,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2",1.09,adme
CC(N)CC(O)=O,"InChI=1S/C4H9NO2/c1-3(5)2-4(6)7/h3H,2,5H2,1H3,(H,6,7)",1.08,adme
C1CNCCN1,"InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2",1.07,adme
C1CCCCN1,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",1.07,adme
Oc1ccncc1,"InChI=1S/C5H5NO/c7-5-1-3-6-4-2-5/h1-4H,(H,6,7)",1.02,adme
Oc1ncccc1,"InChI=1S/C5H5NO/c7-5-3-1-2-4-6-5/h1-4H,(H,6,7)",1.02,adme
OC(CCCC(O)=O)=O,"InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)",1.0,adme
CN1CCOCC1,"InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3",1.0,adme
NC(OC)=O,"InChI=1S/C2H5NO2/c1-5-2(3)4/h1H3,(H2,3,4)",0.97,adme
O=C(C=CC=C1)N1C,"InChI=1S/C6H7NO/c1-7-5-3-2-4-6(7)8/h2-5H,1H3",0.96,adme
OC(CCl)=O,"InChI=1S/C2H3ClO2/c3-1-2(4)5/h1H2,(H,4,5)",0.93,adme
NC(OCC)=O,"InChI=1S/C3H7NO2/c1-2-6-3(4)5/h2H2,1H3,(H2,4,5)",0.85,adme
O=C(C1=CCCN(C)C1)OC,"InChI=1S/C8H13NO2/c1-9-5-3-4-7(6-9)8(10)11-2/h4H,3,5-6H2,1-2H3",0.81,adme
Oc1cc(O)ccc1,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",0.81,adme
c1cnccc1,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,0.76,adme
CC1CNCCN1,"InChI=1S/C5H12N2/c1-5-4-6-2-3-7-5/h5-7H,2-4H2,1H3",0.74,adme
O1CC(O)C(O)C(O)C1(O)CO,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2",0.64,adme
Oc1c(O)cccc1,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",0.62,adme
NC(c1cccnc1)=O,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)",0.61,adme
O=C1NC=NC=C1,"InChI=1S/C4H4N2O/c7-4-1-2-5-3-6-4/h1-3H,(H,5,6,7)",0.59,adme
CCC=O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",0.58,adme
C(OC)=O,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",0.58,adme
C=CC=O,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",0.57,adme
C1CCOC1,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,0.56,adme
CC(CC)=O,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",0.52,adme
CC1NCC(C)NC1,"InChI=1S/C6H14N2/c1-5-3-8-6(2)4-7-5/h5-8H,3-4H2,1-2H3",0.49,adme
COCOC,"InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3",0.48,adme
Cc1nc(C)ccc1,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",0.45,adme
Cc1ccc(C)nc1,"InChI=1S/C7H9N/c1-6-3-4-7(2)8-5-6/h3-5H,1-2H3",0.4,adme
OC1COC(O)C(O)C1O,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2",0.39,adme
Cc1cc(C)ncc1,"InChI=1S/C7H9N/c1-6-3-4-8-7(2)5-6/h3-5H,1-2H3",0.38,adme
Cc(cccn1)c1C,"InChI=1S/C7H9N/c1-6-4-3-5-8-7(6)2/h3-5H,1-2H3",0.38,adme
O=C1N(CC3CNCC2C3)C2=CC=C1,"InChI=1S/C11H14N2O/c14-11-3-1-2-10-9-4-8(5-12-6-9)7-13(10)11/h1-3,8-9,12H,4-7H2",0.36,adme
OC1C(O)C(O)C(O)C(O)C1O,InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H,0.35,adme
CC=CC=O,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3",0.32,adme
CCC(C(O)=O)N,"InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)",0.31,adme
O=C(CC1)NC1=O,"InChI=1S/C4H5NO2/c6-3-1-2-4(7)5-3/h1-2H2,(H,5,6,7)",0.3,adme
CC(C)C(O)=O,"InChI=1S/C4H8O2/c1-3(2)4(5)6/h3H,1-2H3,(H,5,6)",0.28,adme
CN1CCCCC1,"InChI=1S/C6H13N/c1-7-5-3-2-4-6-7/h2-6H2,1H3",0.23,adme
CC(CC(C)=O)=O,"InChI=1S/C5H8O2/c1-4(6)3-5(2)7/h3H2,1-2H3",0.22,adme
C(OCC)=O,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",0.15,adme
C=CC#N,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2",0.15,adme
CC1CCCO1,"InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3",0.11,adme
CC(C)(C)OC(N)=O,"InChI=1S/C5H11NO2/c1-5(2,3)8-4(6)7/h1-3H3,(H2,6,7)",0.1,adme
CCC(C)(O)C,"InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3",0.08,adme
NNc1ccccc1,"InChI=1S/C6H8N2/c7-8-6-4-2-1-3-5-6/h1-5,8H,7H2",0.07,adme
CC(C)CO,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",0.04,adme
O=S(CC)(CC)=O,"InChI=1S/C4H10O2S/c1-3-7(5,6)4-2/h3-4H2,1-2H3",0.04,adme
c12nccnc1ncnc2,InChI=1S/C6H4N4/c1-2-9-6-5(8-1)3-7-4-10-6/h1-4H,0.02,adme
O=C(c1ccncc1)NN,"InChI=1S/C6H7N3O/c7-9-6(10)5-1-3-8-4-2-5/h1-4H,7H2,(H,9,10)",0.01,adme
Oc1ccccc1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",0.0,adme
CCCC=O,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",-0.01,adme
CN1C2CCC1C(C(O)=O)C(O)C2,"InChI=1S/C9H15NO3/c1-10-5-2-3-6(10)8(9(12)13)7(11)4-5/h5-8,11H,2-4H2,1H3,(H,12,13)",-0.02,adme
C1CCOCC1,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,-0.03,adme
CCC1NC(=O)NC1(=O),"InChI=1S/C5H8N2O2/c1-2-3-4(8)7-5(9)6-3/h3H,2H2,1H3,(H2,6,7,8,9)",-0.06,adme
Cc1cc(O)no1,"InChI=1S/C4H5NO2/c1-3-2-4(6)5-7-3/h2H,1H3,(H,5,6)",-0.07,adme
NC(C(O)=O)C(O)C,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)",-0.09,adme
CCOCC,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",-0.09,adme
C(c1ccco1)=O,InChI=1S/C5H4O2/c6-4-5-2-1-3-7-5/h1-4H,-0.1,adme
Cc1nc(nccn2)c2cn1,"InChI=1S/C7H6N4/c1-5-10-4-6-7(11-5)9-3-2-8-6/h2-4H,1H3",-0.12,adme
NC(C(O)=O)C(C)(S)C,"InChI=1S/C5H11NO2S/c1-5(2,9)3(6)4(7)8/h3,9H,6H2,1-2H3,(H,7,8)",-0.13,adme
CCN(CC)CC,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",-0.14,adme
c1ccc[nH]1,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,-0.17,adme
OC1C(O)C(O)CC(O)C1O,"InChI=1S/C6H12O5/c7-2-1-3(8)5(10)6(11)4(2)9/h2-11H,1H2",-0.17,adme
OC(CO)Cn(cn1)c(C(N2C)=O)c1N(C2=O)C,"InChI=1S/C10H14N4O4/c1-12-8-7(9(17)13(2)10(12)18)14(5-11-8)3-6(16)4-15/h5-6,15-16H,3-4H2,1-2H3",-0.17,adme
O=NN1CCCCC1,InChI=1S/C5H10N2O/c8-6-7-4-2-1-3-5-7/h1-5H2,-0.17,adme
CC(CCC)=O,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",-0.19,adme
OC(CCC)=O,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",-0.19,adme
CN(NC(CCC(O)=O)=O)C,"InChI=1S/C6H12N2O3/c1-8(2)7-5(9)3-4-6(10)11/h3-4H2,1-2H3,(H,7,9)(H,10,11)",-0.2,adme
OC(CCC(O)=O)=O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",-0.2,adme
CC(C)C(O)C,"InChI=1S/C5H12O/c1-4(2)5(3)6/h4-6H,1-3H3",-0.2,adme
O=C(OC)C=C,"InChI=1S/C4H6O2/c1-3-4(5)6-2/h3H,1H2,2H3",-0.22,adme
CCC(O)CC,"InChI=1S/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3",-0.24,adme
