SMILES,InChI,logS,source
C(=O)(C(OC(=O)c1ccccc1)C)N(CC)CC,"InChI=1S/C14H19NO3/c1-4-15(5-2)13(16)11(3)18-14(17)12-9-7-6-8-10-12/h6-11H,4-5H2,1-3H3",-2.096,ONES
S1(=O)(=O)N(CC(=O)O)CCCC1,"InChI=1S/C6H11NO4S/c8-6(9)5-7-3-1-2-4-12(7,10)11/h1-5H2,(H,8,9)",-0.585,ONES
BrC(Cl)(Cl)C(Br)OP(=O)(OC)OC,"InChI=1S/C4H7Br2Cl2O4P/c1-10-13(9,11-2)12-3(5)4(6,7)8/h3H,1-2H3",-2.28,ONES
C(C(C(OC(=O)C)OC)OC(=O)C)(C(OC(=O)C)COC(=O)C)OC(=O)C,"InChI=1S/C16H24O11/c1-8(17)23-7-13(24-9(2)18)14(25-10(3)19)15(26-11(4)20)16(22-6)27-12(5)21/h13-16H,7H2,1-6H3",-1.8159999999999998,ONES
P(=O)(SC(C(=O)OCC)CC(=O)OCC)(OC)OC,"InChI=1S/C10H19O7PS/c1-5-16-9(11)7-8(10(12)17-6-2)19-18(13,14-3)15-4/h8H,5-7H2,1-4H3",-3.3360000000000003,ONES
N1(C(=O)C(=C(N1C)C)NC(=O)N)c2ccccc2,"InChI=1S/C12H14N4O2/c1-8-10(14-12(13)18)11(17)16(15(8)2)9-6-4-3-5-7-9/h3-7H,1-2H3,(H3,13,14,18)",-1.5219999999999998,ONES
C21(C(C3C(CC(C1C=CC2=O)C)OC(=O)C3C)OC(=O)C)C,"InChI=1S/C17H22O5/c1-8-7-12-14(9(2)16(20)22-12)15(21-10(3)18)17(4)11(8)5-6-13(17)19/h5-6,8-9,11-12,14-15H,7H2,1-4H3",-2.185,ONES
ClC3=CC2C1C(C(CC1)(OC(=O)C)C(=O)C)(CCC2C4(C3=CC(=O)C=C4)C)C,"InChI=1S/C23H27ClO4/c1-13(25)23(28-14(2)26)10-7-18-16-12-20(24)19-11-15(27)5-8-21(19,3)17(16)6-9-22(18,23)4/h5,8,11-12,16-18H,6-7,9-10H2,1-4H3",-4.949999982,ONES
C(=NNC(=O)N)(C=NNC(=O)N)C,"InChI=1S/C5H10N6O2/c1-3(9-11-5(7)13)2-8-10-4(6)12/h2H,1H3,(H3,6,10,12)(H3,7,11,13)",-1.9480000000000002,ONES
C(=NO)(C(=N[O-])c1ccccc1)c2ccccc2,"InChI=1S/C14H12N2O2/c17-15-13(11-7-3-1-4-8-11)14(16-18)12-9-5-2-6-10-12/h1-10,17-18H/p-1",-5.89899984,ONES
C(C1CC(=NO)C(=NO)CC1)(CC)(C)C,"InChI=1S/C11H20N2O2/c1-4-11(2,3)8-5-6-9(12-14)10(7-8)13-15/h8,14-15H,4-7H2,1-3H3",-3.965000002,ONES
C1(=NO)C(=NO)CCC(C1)C(C)C,"InChI=1S/C9H16N2O2/c1-6(2)7-3-4-8(10-12)9(5-7)11-13/h6-7,12-13H,3-5H2,1-2H3",-2.39,ONES
CCC1CC/C(=N\O)/C(=N\O)/C1,"InChI=1S/C8H14N2O2/c1-2-6-3-4-7(9-11)8(5-6)10-12/h6,11-12H,2-5H2,1H3/b9-7+,10-8-",-1.8330000000000002,ONES
c21c(cccc1)C=CC(=O)C2=NO,"InChI=1S/C10H7NO2/c12-9-6-5-7-3-1-2-4-8(7)10(9)11-13/h1-6,13H",-2.937,ONES
CC(=O)OCSc1c2c([nH]cn2)ncn1,"InChI=1S/C8H8N4O2S/c1-5(13)14-4-15-8-6-7(10-2-9-6)11-3-12-8/h2-3H,4H2,1H3,(H,9,10,11,12)",-2.144,ONES
CCCCCC(=O)OCSc1c2c([nH]cn2)ncn1,"InChI=1S/C12H16N4O2S/c1-2-3-4-5-9(17)18-8-19-12-10-11(14-6-13-10)15-7-16-12/h6-7H,2-5,8H2,1H3,(H,13,14,15,16)",-3.6220000010000004,ONES
CCCCCCCC(=O)OCSc1c2c([nH]cn2)ncn1,"InChI=1S/C14H20N4O2S/c1-2-3-4-5-6-7-11(19)20-10-21-14-12-13(16-8-15-12)17-9-18-14/h8-9H,2-7,10H2,1H3,(H,15,16,17,18)",-4.614000002,ONES
CCC(=O)OCSc1c2c([nH]cn2)ncn1,"InChI=1S/C9H10N4O2S/c1-2-6(14)15-5-16-9-7-8(11-3-10-7)12-4-13-9/h3-4H,2,5H2,1H3,(H,10,11,12,13)",-2.395,ONES
CCCCC(=O)OCSc1c2c([nH]cn2)ncn1,"InChI=1S/C11H14N4O2S/c1-2-3-4-8(16)17-7-18-11-9-10(13-5-12-9)14-6-15-11/h5-6H,2-4,7H2,1H3,(H,12,13,14,15)",-3.103,ONES
CC\1CCC(/C(=N/O)/C1=N/O)C,"InChI=1S/C8H14N2O2/c1-5-3-4-6(2)8(10-12)7(5)9-11/h5-6,11-12H,3-4H2,1-2H3/b9-7-,10-8+",-1.324,ONES
C(C1CC(=NO)C(=NO)CC1)(CC(C)(C)C)(C)C,"InChI=1S/C14H26N2O2/c1-13(2,3)9-14(4,5)10-6-7-11(15-17)12(8-10)16-18/h10,17-18H,6-9H2,1-5H3",-6.405999929,ONES
c1(ccccc1)C(=O)OCC(=O)NC(=O)C,"InChI=1S/C11H11NO4/c1-8(13)12-10(14)7-16-11(15)9-5-3-2-4-6-9/h2-6H,7H2,1H3,(H,12,13,14)",-2.401,ONES
c1(ccccc1)C(=O)OCC(=O)N,"InChI=1S/C9H9NO3/c10-8(11)6-13-9(12)7-4-2-1-3-5-7/h1-5H,6H2,(H2,10,11)",-1.641,ONES
c1(c(cccc1)C(CC)C)OC(=O)NC,"InChI=1S/C12H17NO2/c1-4-9(2)10-7-5-6-8-11(10)15-12(14)13-3/h5-9H,4H2,1-3H3,(H,13,14)",-2.531,ONES
Clc1c(cccc1)C(O)(c2cncnc2)c3ccc(cc3)Cl,"InChI=1S/C17H12Cl2N2O/c18-14-7-5-12(6-8-14)17(22,13-9-20-11-21-10-13)15-3-1-2-4-16(15)19/h1-11,22H",-4.380000003999999,ONES
C(c1ccccc1)(OC(=O)c2ccc(cc2)[N+](=O)[O-])CN(CC)CC,"InChI=1S/C19H22N2O4/c1-3-20(4-2)14-18(15-8-6-5-7-9-15)25-19(22)16-10-12-17(13-11-16)21(23)24/h5-13,18H,3-4,14H2,1-2H3",-2.844,ONES
c1(ccccc1)C(=O)OCC(=O)N(CC)CC,"InChI=1S/C13H17NO3/c1-3-14(4-2)12(15)10-17-13(16)11-8-6-5-7-9-11/h5-9H,3-4,10H2,1-2H3",-2.0709999999999997,ONES
c1(ccccc1)C(=O)OCC(=O)N(C)C,"InChI=1S/C11H13NO3/c1-12(2)10(13)8-15-11(14)9-6-4-3-5-7-9/h3-7H,8H2,1-2H3",-1.3719999999999999,ONES
c1(ccccc1)C(=O)OCC(=O)NCC,"InChI=1S/C11H13NO3/c1-2-12-10(13)8-15-11(14)9-6-4-3-5-7-9/h3-7H,2,8H2,1H3,(H,12,13)",-2.237,ONES
c21c(cc(cc1)OC)ccc(c2)C(C(=O)OC3C(CCCC3)O)C,"InChI=1S/C20H24O4/c1-13(20(22)24-19-6-4-3-5-18(19)21)14-7-8-16-12-17(23-2)10-9-15(16)11-14/h7-13,18-19,21H,3-6H2,1-2H3",-5.073999978,ONES
c1(ccccc1)C(=O)OCC(=O)NC,"InChI=1S/C10H11NO3/c1-11-9(12)7-14-10(13)8-5-3-2-4-6-8/h2-6H,7H2,1H3,(H,11,12)",-1.7180000000000002,ONES
S(=O)(=O)(c1ccc(cc1)C)Oc2c(cccc2)C,"InChI=1S/C14H14O3S/c1-11-7-9-13(10-8-11)18(15,16)17-14-6-4-3-5-12(14)2/h3-10H,1-2H3",-3.942000002,ONES
N2(C(=O)COC(=O)c1ccccc1)CCOCC2,"InChI=1S/C13H15NO4/c15-12(14-6-8-17-9-7-14)10-18-13(16)11-4-2-1-3-5-11/h1-5H,6-10H2",-1.7730000000000001,ONES
C1(C(O[N+](=O)[O-])CCCCC1)O[N+](=O)[O-],"InChI=1S/C7H12N2O6/c10-8(11)14-6-4-2-1-3-5-7(6)15-9(12)13/h6-7H,1-5H2",-3.0210000000000004,ONES
C1(C(O[N+](=O)[O-])CCCC1)O[N+](=O)[O-],"InChI=1S/C6H10N2O6/c9-7(10)13-5-3-1-2-4-6(5)14-8(11)12/h5-6H,1-4H2",-2.347,ONES
N2(C(=O)COC(=O)c1ccccc1)CCCCC2,"InChI=1S/C14H17NO3/c16-13(15-9-5-2-6-10-15)11-18-14(17)12-7-3-1-4-8-12/h1,3-4,7-8H,2,5-6,9-11H2",-2.501,ONES
c1(ccccc1)C(=O)OCC(=O)NCCC,"InChI=1S/C12H15NO3/c1-2-8-13-11(14)9-16-12(15)10-6-4-3-5-7-10/h3-7H,2,8-9H2,1H3,(H,13,14)",-2.539,ONES
N2(C(=O)COC(=O)c1ccccc1)CCCC2,"InChI=1S/C13H15NO3/c15-12(14-8-4-5-9-14)10-17-13(16)11-6-2-1-3-7-11/h1-3,6-7H,4-5,8-10H2",-1.568,ONES
c21c(cc(cc1)OC)ccc(c2)C(C(=O)OC3C(=O)CCCC3)C,"InChI=1S/C20H22O4/c1-13(20(22)24-19-6-4-3-5-18(19)21)14-7-8-16-12-17(23-2)10-9-15(16)11-14/h7-13,19H,3-6H2,1-2H3",-5.593000051000001,ONES
C1(SC(CS1)COC(=O)N)(C)C,"InChI=1S/C7H13NO2S2/c1-7(2)11-4-5(12-7)3-10-6(8)9/h5H,3-4H2,1-2H3,(H2,8,9)",-2.222,ONES
c1(c(ccc(c1)Cl)OCC(=S)O)Cl,"InChI=1S/C8H6Cl2O2S/c9-5-1-2-7(6(10)3-5)12-4-8(11)13/h1-3H,4H2,(H,11,13)",-2.685,ONES
C1(=CNC(=O)NC1=O)NS(=O)(=O)O,"InChI=1S/C4H5N3O5S/c8-3-2(7-13(10,11)12)1-5-4(9)6-3/h1,7H,(H,10,11,12)(H2,5,6,8,9)",-1.766,ONES
c1c(c(cc(c1Cl)Cl)Cl)OCC(=S)O,"InChI=1S/C8H5Cl3O2S/c9-4-1-6(11)7(2-5(4)10)13-3-8(12)14/h1-2H,3H2,(H,12,14)",-2.957,ONES
Ic1c(cc(c(c1)Cl)OP(=S)(OC)OC)Cl,"InChI=1S/C8H8Cl2IO3PS/c1-12-15(16,13-2)14-8-4-5(9)7(11)3-6(8)10/h3-4H,1-2H3",-6.620000527999999,ONES
O=C3N(C(=O)C(c1ccccc1)(c2ccccc2)N3)COC(=O)C,"InChI=1S/C18H16N2O4/c1-13(21)24-12-20-16(22)18(19-17(20)23,14-8-4-2-5-9-14)15-10-6-3-7-11-15/h2-11H,12H2,1H3,(H,19,23)",-4.906999995,ONES
O=C3N(C(=O)C(c1ccccc1)(c2ccccc2)N3)COC(=O)C,"InChI=1S/C18H16N2O4/c1-13(21)24-12-20-16(22)18(19-17(20)23,14-8-4-2-5-9-14)15-10-6-3-7-11-15/h2-11H,12H2,1H3,(H,19,23)",-4.469999995,ONES
O=C3N(C(=O)C(c1ccccc1)(c2ccccc2)N3)COC(=O)CCC,"InChI=1S/C20H20N2O4/c1-2-9-17(23)26-14-22-18(24)20(21-19(22)25,15-10-5-3-6-11-15)16-12-7-4-8-13-16/h3-8,10-13H,2,9,14H2,1H3,(H,21,25)",-4.677999997,ONES
O=C3N(C(=O)C(c1ccccc1)(c2ccccc2)N3)COC(=O)CCC,"InChI=1S/C20H20N2O4/c1-2-9-17(23)26-14-22-18(24)20(21-19(22)25,15-10-5-3-6-11-15)16-12-7-4-8-13-16/h3-8,10-13H,2,9,14H2,1H3,(H,21,25)",-5.070000019,ONES
CCCCCCC(=O)OCN1C(=O)C(NC1=O)(c2ccccc2)c3ccccc3,"InChI=1S/C23H26N2O4/c1-2-3-4-11-16-20(26)29-17-25-21(27)23(24-22(25)28,18-12-7-5-8-13-18)19-14-9-6-10-15-19/h5-10,12-15H,2-4,11,16-17H2,1H3,(H,24,28)",-6.3000002020000005,ONES
