Sol,logS,logP,MP,InChI
-2.247230312921745,-1.814,2.25,-78.5,"InChI=1S/C7H14O2/c1-6(2)4-5-9-7(3)8/h6H,4-5H2,1-3H3"
-9.394035647668504,-2.895,2.38,95.0,"InChI=1S/C9H11BrN2O2/c1-12(14-2)9(13)11-8-5-3-7(10)4-6-8/h3-6H,1-2H3,(H,11,13)"
-4.343561070170592,-1.6030000000000002,1.61,-35.6,"InChI=1S/C8H8O/c1-2-4-7(5-3-1)8-6-9-8/h1-5,8H,6H2"
-0.4574271552643237,-1.631,2.14,-89.0,"InChI=1S/C3H7Br/c1-3(2)4/h3H,1-2H3"
-10.60081031748057,-4.895,3.7,151.0,"InChI=1S/C15H15ClN2O2/c1-18(2)15(19)17-12-5-9-14(10-6-12)20-13-7-3-11(16)4-8-13/h3-10H,1-2H3,(H,17,19)"
-3.723829157343853,1.228,0.26,-95.1,"InChI=1S/C3H9N/c1-3(2)4/h3H,4H2,1-2H3"
-0.395,-0.6205666666666666,0.94,-102.7,"InChI=1S/C3H4/c1-3-2/h1H,2H3"
-5.95105030867195,-2.949,1.48,141.0,"InChI=1S/C7H5NO4/c9-4-5-1-2-7(10)6(3-5)8(11)12/h1-4,10H"
-5.0894186426187735,-6.6160000000000005,5.51,72.5,"InChI=1S/C8H8Cl2IO3PS/c1-12-15(16,13-2)14-8-4-5(9)7(11)3-6(8)10/h3-4H,1-2H3"
-6.391945298082973,-8.18,5.76,357.0,InChI=1S/C18H12/c1-2-6-14-10-18-12-16-8-4-3-7-15(16)11-17(18)9-13(14)5-1/h1-12H
-8.41,1.0856251051,-0.06,-6.0,"InChI=1S/C4H6N2/c1-6-3-2-5-4-6/h2-4H,1H3"
-17.197481966277195,0.873,-1.26,131.0,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)"
-5.027309246520092,-8.402000000000001,6.2,100.0,"InChI=1S/C22H19Br2NO3/c1-22(2)17(12-19(23)24)20(22)21(26)28-18(13-25)14-7-6-10-16(11-14)27-15-8-4-3-5-9-15/h3-12,17-18,20H,1-2H3/t17-,18+,20-/m0/s1"
-7.402721237662583,-3.3569999999999998,3.1,87.0,"InChI=1S/C12H17NO2/c1-8(2)10-5-9(3)6-11(7-10)15-12(14)13-4/h5-8H,1-4H3,(H,13,14)"
-8.53036090937524,-2.6839999999999997,2.31,94.0,"InChI=1S/C11H15NO2/c1-8(2)9-6-4-5-7-10(9)14-11(13)12-3/h4-8H,1-3H3,(H,12,13)"
-3.79887801096309,-3.48,3.84,-22.4,"InChI=1S/C11H14O2/c1-2-3-9-13-11(12)10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3"
-0.10253780011356244,-3.075,3.37,-95.0,"InChI=1S/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3"
-5.668970134723778,-7.107,6.03,210.1,InChI=1S/C18H14/c1-3-7-15(8-4-1)17-11-13-18(14-12-17)16-9-5-2-6-10-16/h1-14H
-5.7764357345524155,-4.551,4.63,42.0,"InChI=1S/C12H13ClF3N3O4/c1-2-4-17(5-3-13)11-9(18(20)21)6-8(12(14,15)16)7-10(11)19(22)23/h6-7H,2-5H2,1H3"
-3.0251190235419134,-1.4240000000000002,1.98,-35.0,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
