SMILES,InChI,Sol,source
CCCCC[N+](=O)[O-],"InChI=1S/C5H11NO2/c1-2-3-4-5-6(7)8/h2-5H2,1H3",-2.82,FreeSol
CCCCCCCN,"InChI=1S/C7H17N/c1-2-3-4-5-6-7-8/h2-8H2,1H3",-3.79,FreeSol
O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,"InChI=1S/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2/t3-,4+,7-,8+,19?",-4.23,FreeSol
COC(=O)CCl,"InChI=1S/C3H5ClO2/c1-6-3(5)2-4/h2H2,1H3",-4.0,FreeSol
CC[C@@H](O)C(C)C,"InChI=1S/C6H14O/c1-4-6(7)5(2)3/h5-7H,4H2,1-3H3/t6-/m1/s1",-3.88,FreeSol
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,InChI=1S/C12H6Cl2O2/c13-7-1-3-9-11(5-7)16-10-4-2-8(14)6-12(10)15-9/h1-6H,-3.67,FreeSol
CC(=O)c1ccc(C)cc1,"InChI=1S/C9H10O/c1-7-3-5-9(6-4-7)8(2)10/h3-6H,1-2H3",-4.7,FreeSol
FC(F)=C(F)C(F)(F)F,"InChI=1S/C3F6/c4-1(2(5)6)3(7,8)9",2.93,FreeSol
CCCCCc1ccccc1,"InChI=1S/C11H16/c1-2-3-5-8-11-9-6-4-7-10-11/h4,6-7,9-10H,2-3,5,8H2,1H3",-0.23,FreeSol
C/C=C/CCCC,"InChI=1S/C7H14/c1-3-5-7-6-4-2/h3,5H,4,6-7H2,1-2H3/b5-3+",1.68,FreeSol
Clc1cccc2c1Oc1ccccc1O2,InChI=1S/C12H7ClO2/c13-8-4-3-7-11-12(8)15-10-6-2-1-5-9(10)14-11/h1-7H,-3.52,FreeSol
CCCC[C@@H](C)CC,"InChI=1S/C8H18/c1-4-6-7-8(3)5-2/h8H,4-7H2,1-3H3/t8-/m0/s1",2.97,FreeSol
CCCCCC(N)=O,"InChI=1S/C6H13NO/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H2,7,8)",-9.31,FreeSol
Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,"InChI=1S/C14H9NO3/c15-9-5-6-10(16)12-11(9)13(17)7-3-1-2-4-8(7)14(12)18/h1-6,16H,15H2",-9.53,FreeSol
FC(F)(F)c1ccccc1C(F)(F)F,"InChI=1S/C8H4F6/c9-7(10,11)5-3-1-2-4-6(5)8(12,13)14/h1-4H",1.07,FreeSol
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,"InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3/t8-,9+,10-/m1/s1",-3.2,FreeSol
CCCCCC(=O)OCC,"InChI=1S/C8H16O2/c1-3-5-6-7-8(9)10-4-2/h3-7H2,1-2H3",-2.23,FreeSol
Cn1cccc1,"InChI=1S/C5H7N/c1-6-4-2-3-5-6/h2-5H,1H3",-2.89,FreeSol
Cc1cc(O)ccc1Cl,"InChI=1S/C7H7ClO/c1-5-4-6(9)2-3-7(5)8/h2-4,9H,1H3",-6.79,FreeSol
O=Cc1ccccc1O,"InChI=1S/C7H6O2/c8-5-6-3-1-2-4-7(6)9/h1-5,9H",-4.68,FreeSol
COc1ccc(C(C)=O)cc1,"InChI=1S/C9H10O2/c1-7(10)8-3-5-9(11-2)6-4-8/h3-6H,1-2H3",-4.4,FreeSol
CCCCC#N,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",-3.52,FreeSol
CCCOCCO,"InChI=1S/C5H12O2/c1-2-4-7-5-3-6/h6H,2-5H2,1H3",-6.4,FreeSol
CC(CCO[N+](=O)[O-])O[N+](=O)[O-],"InChI=1S/C4H8N2O6/c1-4(12-6(9)10)2-3-11-5(7)8/h4H,2-3H2,1H3",-4.29,FreeSol
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,InChI=1S/C12H5Cl5/c13-6-4-9(16)12(10(17)5-6)11-7(14)2-1-3-8(11)15/h1-5H,-1.96,FreeSol
COc1ccccc1OC,"InChI=1S/C8H10O2/c1-9-7-5-3-4-6-8(7)10-2/h3-6H,1-2H3",-5.33,FreeSol
