FileHandle,SoluteName,SMILES,Sol,Mol,InChI,RB,MW
0008noc,n-octane,C(CCCC)CCC,2.89,<rdkit.Chem.rdchem.Mol object at 0x1a19b5cb20>,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",5,114.14085057599999
0036tol,toluene,c1cc(ccc1)C,-0.89,<rdkit.Chem.rdchem.Mol object at 0x1a19b5ce40>,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0,92.062600256
0045eth,ethanol,OCC,-5.01,<rdkit.Chem.rdchem.Mol object at 0x1a18df2120>,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0,46.041864812
0062dio,"1,4-dioxane",C1COCCO1,-5.05,<rdkit.Chem.rdchem.Mol object at 0x1a18df20d0>,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,0,88.052429496
0076but,2-butanone,CCC(=O)C,-3.64,<rdkit.Chem.rdchem.Mol object at 0x1a18df2210>,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",1,72.057514876
0119met,2-methylpyridine,c1(ccccn1)C,-4.63,<rdkit.Chem.rdchem.Mol object at 0x1a18df2260>,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",0,93.057849224
0041nap,naphthalene,c1c2c(ccc1)cccc2,-2.39,<rdkit.Chem.rdchem.Mol object at 0x1a18df23f0>,InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,0,128.062600256
0053phe,phenol,c1(ccccc1)O,-6.62,<rdkit.Chem.rdchem.Mol object at 0x1a18df2490>,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",0,94.041864812
0056mcr,m-cresol,c1ccc(cc1C)O,-5.49,<rdkit.Chem.rdchem.Mol object at 0x1a18df24e0>,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",0,108.057514876
0086eth,aceticacid,C(=O)(C)O,-6.7,<rdkit.Chem.rdchem.Mol object at 0x1a18df2530>,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",0,60.021129368000004
0087pro,propanoicacid,O=C(CC)O,-6.47,<rdkit.Chem.rdchem.Mol object at 0x1a18df2580>,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",1,74.036779432
0088but,butanoicacid,C(CC(=O)O)C,-6.36,<rdkit.Chem.rdchem.Mol object at 0x1a18df25d0>,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",2,88.052429496
