SMILES,InChI,LogS,LogVP,Sol,RB,MW
Clc1c2c(c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c2Cl,InChI=1S/C10Cl8/c11-3-1-2(5(13)9(17)7(3)15)6(14)10(18)8(16)4(1)12,-9.703,-7.9586,-3.4387524774435536,0,399.75082144
COC(=O)c1ccccc1C(=O)OC,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3",-1.686,-2.5114,-6.938943839162575,2,194.0579088
CN(C)C(=O)Nc1cc(ccc1)C(F)(F)F,"InChI=1S/C10H11F3N2O/c1-15(2)9(16)14-8-5-3-4-7(6-8)10(11,12)13/h3-6H,1-2H3,(H,14,16)",-3.436,-6.0278,-9.344865709090382,1,232.082347632
CNC(=O)N(C)c1[n]c2ccccc2[s]1,"InChI=1S/C10H11N3OS/c1-11-9(14)13(2)10-12-7-5-3-4-6-8(7)15-10/h3-6H,1-2H3,(H,11,14)",-3.574,-6.9469,-10.408761526912286,1,221.062282972
C1CCCc2ccccc21,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",-3.452,-0.4342,-1.7043203504247175,0,132.093900384
CCP(=S)(Oc1cc(Cl)c(Cl)cc1Cl)OCC,"InChI=1S/C10H12Cl3O2PS/c1-3-14-16(17,4-2)15-10-6-8(12)7(11)5-9(10)13/h5-6H,3-4H2,1-2H3",-5.752,-4.8239,-4.550592390499525,5,331.936120294
CC(C)OC(=O)Nc1cccc(Cl)c1,"InChI=1S/C10H12ClNO2/c1-7(2)14-10(13)12-9-5-3-4-8(11)6-9/h3-7H,1-2H3,(H,12,13)",-3.38,-3.7447,-6.3114482518235,2,213.055656304
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,"InChI=1S/C10H12N2O3S/c1-7(2)12-10(13)8-5-3-4-6-9(8)11-16(12,14)15/h3-7,11H,1-2H3",-2.682,-5.4622,-9.601475582445453,1,240.056863244
COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,"InChI=1S/C10H12N3O3PS2/c1-15-17(18,16-2)19-7-13-10(14)8-5-3-4-6-9(8)11-12-13/h3-6H,7H2,1-2H3",-4.181,-5.7959,-8.01428086152897,5,317.005769874
CC=Cc1ccc(cc1)OC,"InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3",-3.126,-1.1533,-3.127796882502136,2,148.088815004
COc1cc(CC=C)ccc1O,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",-1.562,-1.6455,-5.928440309214973,3,164.083729624
Cc1cc(Cl)ccc1N=CN(C)C,"InChI=1S/C10H13ClN2/c1-8-6-9(11)4-5-10(8)12-7-13(2)3/h4-7H,1-3H3",-2.862,-3.0348,-6.050071209908224,2,196.076726096
Cc1ccc(cc1Cl)NC(=O)N(C)C,"InChI=1S/C10H13ClN2O/c1-7-4-5-8(6-9(7)11)12-10(14)13(2)3/h4-6H,1-3H3,(H,12,14)",-3.483,-7.4437,-11.209373435394827,1,212.071640716
COc1ccc(cc1Cl)NC(=O)N(C)C,"InChI=1S/C10H13ClN2O2/c1-13(2)10(14)12-7-4-5-9(15-3)8(11)6-7/h4-6H,1-3H3,(H,12,14)",-2.581,-4.4908,-8.415948863930302,2,228.066555336
CC(=O)Nc1ccc(cc1)OCC,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",-2.369,-6.1599,-10.97809765781685,3,179.094628656
Cc1cc(ccc1C)OC(=O)NC,"InChI=1S/C10H13NO2/c1-7-4-5-9(6-8(7)2)13-10(12)11-3/h4-6H,1-3H3,(H,11,12)",-2.139,-3.2381,-7.311736420570659,1,179.094628656
CNC(=O)Oc1cc(C)cc(C)c1,"InChI=1S/C10H13NO2/c1-7-4-8(2)6-9(5-7)13-10(12)11-3/h4-6H,1-3H3,(H,11,12)",-2.581,-3.4437,-6.9897482355327645,1,179.094628656
CC(C)OC(=O)Nc1ccccc1,"InChI=1S/C10H13NO2/c1-8(2)13-10(12)11-9-6-4-3-5-7-9/h3-8H,1-2H3,(H,11,12)",-3.001,-3.8539,-6.976400163564189,2,179.094628656
CC(C)(C)c1ccccc1,"InChI=1S/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3",-3.658,0.3433,-0.36474598500692,0,134.109550448
CCCCc1ccccc1,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3",-4.056,0.027,-0.2534666503301174,3,134.109550448
CCC(C)c1ccccc1,"InChI=1S/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3",-3.882,0.2435,-0.19557960352762105,2,134.109550448
CCc1ccc(CC)cc1,"InChI=1S/C10H14/c1-3-9-5-7-10(4-2)8-6-9/h5-8H,3-4H2,1-2H3",-3.733,0.0253,-0.6957236879012005,2,134.109550448
CCc1cc(CC)ccc1,"InChI=1S/C10H14/c1-3-9-6-5-7-10(4-2)8-9/h5-8H,3-4H2,1-2H3",-3.748,0.0531,-0.6374280266506853,2,134.109550448
CCc1ccccc1CC,"InChI=1S/C10H14/c1-3-9-7-5-6-8-10(9)4-2/h5-8H,3-4H2,1-2H3",-3.276,0.0212,-1.3237640945042983,2,134.109550448
Cc1cc(C)c(C)cc1C,"InChI=1S/C10H14/c1-7-5-9(3)10(4)6-8(7)2/h5-6H,1-4H3",-4.586,-0.2771,0.0542200290271584,0,134.109550448
Cc1ccc(cc1)C(C)C,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",-3.759,0.1896,-0.4365259230420169,1,134.109550448
CN1CCC[C@H]1c1c[n]ccc1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",0.79,-1.4202,-8.825108131211955,1,162.115698448
