FileHandle,Smiles,SoluteName,Formula,Subset,Charge,Level1,Level2,Level3,Solvent,DeltaGsolv,type,eps,n,alpha,beta,gamma,phi**2,psi**2,beta**2,H,C,HC,CC,CC2,N,HN,HN2,CN,NC,NC2,NC3,O,HO,HO2,OC,CO2,ON,OO,F,Cl,Br,I,FC,ClC,BrC,IC,Si,OSi,P,HP,OP,S,HS,OS,SP,SS,TotalArea
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,2methylpyridine,-4.73,abs,9.9533,1.4957,0,0.58,47.5,0.509796,0,0.3364,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,aceticacid,-3.93,abs,6.2528,1.372,0.61,0.44,39.01,0,0,0.1936,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,acetonitrile,-3.57,abs,35.6881,1.3442,0.07,0.32,41.25,0,0,0.1024,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,acetophenone,-4.24,abs,17.44,1.5372,0,0.48,56.19,0.444889,0,0.2304,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,aniline,-3.48,abs,6.8882,1.5863,0.26,0.41,60.62,0.734449,0,0.1681,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,anisole,-4.62,abs,4.2247,1.5174,0,0.29,50.52,0.5625,0,0.0841,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,benzene,-5.35,abs,2.2706,1.5011,0,0.14,40.62,1,0,0.0196,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,benzonitrile,-4.34,abs,25.592,1.5289,0,0.33,55.83,0.5625,0,0.1089,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,benzylalcohol,-3.77,abs,12.4569,1.5396,0.33,0.56,52.96,0.5625,0,0.3136,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,bromobenzene,-5.02,abs,5.3954,1.5597,0,0.09,50.72,0.734449,0.020449,0.0081,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,bromoethane,-5.54,abs,9.01,1.4239,0,0.12,34,0,0.110889,0.0144,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,butanol,-4.45,abs,17.3323,1.3993,0.37,0.48,35.88,0,0,0.2304,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,butanone,-4.64,abs,18.2457,1.3788,0,0.51,34.5,0,0,0.2601,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,carbondisulfide,-5.68,abs,2.6105,1.6319,0,0.07,45.45,0,0,0.0049,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,carbontet,-5.39,abs,2.228,1.4601,0,0,38.04,0,0.64,0,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,chlorobenzene,-5.16,abs,5.6968,1.5241,0,0.07,47.48,0.734449,0.020449,0.0049,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,chloroform,-5.25,abs,4.7113,1.4459,0.15,0.02,38.39,0,0.5625,0.0004,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,cyclohexane,-5.63,abs,2.0165,1.4266,0,0,35.48,0,0,0,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,cyclohexanone,-4.57,abs,15.6186,1.4507,0,0.56,49.76,0,0,0.3136,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,decane,-5.18,abs,1.9846,1.4102,0,0,33.64,0,0,0,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,dibutylether,-5.24,abs,3.0473,1.3992,0,0.45,35.98,0,0,0.2025,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,diethylether,-5.62,abs,4.24,1.3526,0,0.41,23.96,0,0,0.1681,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,diisopropylether,-5.38,abs,3.38,1.3679,0,0.41,24.86,0,0,0.1681,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,dimethylacetamide,-3.94,abs,37.7807,1.438,0,0.78,47.62,0,0,0.6084,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,dimethylformamide,-3.77,abs,37.219,1.4305,0,0.74,49.56,0,0,0.5476,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,dimethylpyridine,-4.88,abs,7.1735,1.4953,0,0.63,44.64,0.390625,0,0.3969,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,dimethylsulfoxide,-2.84,abs,46.826,1.417,0,0.88,61.78,0,0,0.7744,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,ethanol,-4.23,abs,24.852,1.3611,0.37,0.48,31.62,0,0,0.2304,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,ethoxybenzene,-4.75,abs,4.1797,1.5076,0,0.32,46.65,0.444889,0,0.1024,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,ethylacetate,-4.72,abs,5.9867,1.3723,0,0.45,33.67,0,0,0.2025,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
0008noc,C(CCCC)CCC,n-octane,H18C8,[g],0,2,1,1,fluorobenzene,-4.99,abs,5.42,1.4684,0,0.1,38.37,0.734449,0.020449,0.01,207.769,36.077,139.807,33.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.846
