"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"13700","S(=O)(=O)(O)C1(=CC=C([N+](=O)[O-])C=C1)","[O-][N+](=O)C1C=CC(=CC=1)S(O)(=O)=O","InChI=1S/C6H5NO5S/c8-7(9)5-1-3-6(4-2-5)13(10,11)12/h1-4H,(H,10,11,12)","SPXOTSHWBDUUMT-UHFFFAOYSA-N","?","36","spectrophotometric","a1/apparent","H","acidic",-7.15
"13701","S(=O)(=O)(O)C1(=CC([N+](=O)[O-])=CC=C1)","[O-][N+](=O)C1C=C(C=CC=1)S(O)(=O)=O","InChI=1S/C6H5NO5S/c8-7(9)5-2-1-3-6(4-5)13(10,11)12/h1-4H,(H,10,11,12)","ONMOULMPIIOVTQ-UHFFFAOYSA-N","?","36","spectrophotometric","a1/apparent","H","acidic",-7.1
"12109","S(=O)(=O)(O)C1(=CC(=CC=C1)C(F)(F)F)","OS(=O)(=O)C1=CC(=CC=C1)C(F)(F)F","InChI=1S/C7H5F3O3S/c8-7(9,10)5-2-1-3-6(4-5)14(11,12)13/h1-4H,(H,11,12,13)","LVMOKIQHDKDNBI-UHFFFAOYSA-N","?","36","spectrophotometric","a1/apparent","H","acidic",-6.93
"14285","S(=O)(=O)(O)C1(=CC(=CC=C1)C)","CC1C=C(C=CC=1)S(O)(=O)=O","InChI=1S/C7H8O3S/c1-6-3-2-4-7(5-6)11(8,9)10/h2-5H,1H3,(H,8,9,10)","JDQDSEVNMTYMOC-UHFFFAOYSA-N","?","36","spectrophotometric","a1/apparent","H","acidic",-6.56
"11155","SC1(=[N+](C=CC=2(C1=CC=CC=2))C)","C[N+]1C=CC2=CC=CC=C2C=1S","InChI=1S/C10H9NS/c1-11-7-6-8-4-2-3-5-9(8)10(11)12/h2-7H,1H3/p+1","IEXYLQOPBXUDSK-UHFFFAOYSA-O","?","20","spectrophotometric","a/apparent","?","acidic",-2.13
"13352","OC1(=C(C#N)C=[NH+]C=2(C1=CC=CC=2))","N#CC1C=NC2=CC=CC=C2C=1O","InChI=1S/C10H6N2O/c11-5-7-6-12-9-4-2-1-3-8(9)10(7)13/h1-4,6H,(H,12,13)","RBNLMAXLHADNEU-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",-2.08
"13925","SC1(=[NH+]C=CC=2(C1=CC=CC=2))","SC1=NC=CC2=CC=CC=C21","InChI=1S/C9H7NS/c11-9-8-4-2-1-3-7(8)5-6-10-9/h1-6H,(H,10,11)","IOYIDSMWPLNHRC-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",-1.9
"17838","OC1(=[NH+]N=CC=C1)","OC1=CC=CN=N1","InChI=1S/C4H4N2O/c7-4-2-1-3-5-6-4/h1-3H,(H,6,7)","AAILEWXSEQLMNI-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",-1.8
"17072","O([N+]1(=C(O)C=CC=C1))CC2(=CC=CC=C2)","OC1C=CC=C[N+]=1OCC1C=CC=CC=1","InChI=1S/C12H11NO2/c14-12-8-4-5-9-13(12)15-10-11-6-2-1-3-7-11/h1-9H,10H2/p+1","XPXARICFNFFNEK-UHFFFAOYSA-O","?",,"spectrophotometric","a/apparent","?","acidic",-1.7
"12021","OC1(=[NH+]C=2(C=CC=CC=2(N1)))","OC1NC2C=CC=CC=2N=1","InChI=1S/C7H6N2O/c10-7-8-5-3-1-2-4-6(5)9-7/h1-4H,(H2,8,9,10)","SILNNFMWIMZVEQ-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",-1.7
