"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"14280","[Br]C1(=CC=C(S(=O)(=O)O)C=C1)","OS(=O)(=O)C1C=CC(Br)=CC=1","InChI=1S/C6H5BrO3S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,(H,8,9,10)","PXACTUVBBMDKRW-UHFFFAOYSA-N","?","36","spectrophotometric","a1/apparent","H","acidic",-6.72
"13876","OC1(=[NH+]N=CC=2(C1=CC=CC=2))","OC1N=NC=C2C=CC=CC2=1","InChI=1S/C8H6N2O/c11-8-7-4-2-1-3-6(7)5-9-10-8/h1-5H,(H,10,11)","IJAPPYDYQCXOEF-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",-2.0
"11607","O=[N+]([O-])C1(=CC=[N+](O)C=C1)","[O-][N+](=O)C1=CC=[N+](O)C=C1","InChI=1S/C5H5N2O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H/q+1","JJADLNQMXAFVCU-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","acidic",-1.7
"10235","SC1(=[N+](C=CC=C1)C)","C[N+]1C=CC=CC=1S","InChI=1S/C6H7NS/c1-7-5-3-2-4-6(7)8/h2-5H,1H3/p+1","UHOAUPKGWPQNDM-UHFFFAOYSA-O","?","24","mean from 2","a/apparent","?","acidic",-1.42
"16743","O3(C(N2(C1(=NC(=[NH+]C(=C1N=C2)O)N)))CC(C3CO)O)","NC1N=C(O)C2N=CN(C3CC(O)C(CO)O3)C=2N=1","InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)","YKBGVTZYEHREMT-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","H(+)","acidic",-0.97
"14373","O[N+]1(=C(C=C(C#N)C=C1C)C)","CC1C=C(C=C(C)[N+]=1O)C#N","InChI=1S/C8H9N2O/c1-6-3-8(5-9)4-7(2)10(6)11/h3-4,11H,1-2H3/q+1","YIQIJOCZXURANB-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","acidic",-0.61
"12257","O=C(OCC)C1(=CC(=[N+](O)C(=C1)C)C)","CC1=CC(=CC(C)=[N+]1O)C(=O)OCC","InChI=1S/C10H14NO3/c1-4-14-10(12)9-5-7(2)11(13)8(3)6-9/h5-6,13H,4H2,1-3H3/q+1","AVGUAQOGRHFITN-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","acidic",-0.13
"12256","O=C(OCCCC)C1(=C[N+](O)=CC=C1)","CCCCOC(=O)C1C=CC=[N+](O)C=1","InChI=1S/C10H14NO3/c1-2-3-7-14-10(12)9-5-4-6-11(13)8-9/h4-6,8,13H,2-3,7H2,1H3/q+1","ADZQSRVCJHYPMM-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","acidic",0.03
"13296","OC1(=[NH+]C([O-])=[N+](C)C2(=C1N(C=N2)C))","CN1C=NC2C1=C(O)N=C(O)[N+]=2C","InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)/p+1","YAPQBXQYLJRXSA-UHFFFAOYSA-O","?",,"spectrophotometric","a1/apparent","?","acidic",0.3
"13266","O=C2(C(=O)C(C1(=CC=CC=C1))C2=O)","OC1=C(C2C=CC=CC=2)C(=O)C1=O","InChI=1S/C10H6O3/c11-8-7(9(12)10(8)13)6-4-2-1-3-5-6/h1-5,11H","YSWWAKJDYMKMGU-UHFFFAOYSA-N","?","20","spectrophotometric","a/apparent","?","acidic",0.37
"11107","OC2(=[NH+]C=1(C(=CC=CC=1)N=C2C))","CC1=NC2=CC=CC=C2N=C1O","InChI=1S/C9H8N2O/c1-6-9(12)11-8-5-3-2-4-7(8)10-6/h2-5H,1H3,(H,11,12)","BMIMNRPAEPIYDN-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","acidic",0.48
"12456","OC1(=[NH+]C(=CN=C1C2(=CC=CC=C2))C)","CC1=CN=C(C(O)=N1)C1C=CC=CC=1","InChI=1S/C11H10N2O/c1-8-7-12-10(11(14)13-8)9-5-3-2-4-6-9/h2-7H,1H3,(H,13,14)","GVDVWMAMSQPUDQ-UHFFFAOYSA-N","?","25","spectrophotometric","a2/apparent","?","acidic",0.7
"13555","O=C1(N(C(C(=O)O)=CC(N1C)=O)C)","CN1C(=O)C=C(C(O)=O)N(C)C1=O","InChI=1S/C7H8N2O4/c1-8-4(6(11)12)3-5(10)9(2)7(8)13/h3H,1-2H3,(H,11,12)","ZXDYFTWNWCMEOS-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","acidic",0.8
