"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"15045","O(C2(=CC=C(C(O)C1(=CC=CC=C1))C=C2))C","COC1C=CC(=CC=1)C(O)C1C=CC=CC=1","InChI=1S/C14H14O2/c1-16-13-9-7-12(8-10-13)14(15)11-5-3-2-4-6-11/h2-10,14-15H,1H3","BEGZWXVLBIZFKQ-UHFFFAOYSA-N","?","25",,"a1/apparent","COH2(1+)","basic",-8.0
"11598","O[N+]1(=CC=C(N(C)C)C=C1)","CN(C)C1C=C[N+](O)=CC=1","InChI=1S/C7H11N2O/c1-8(2)7-3-5-9(10)6-4-7/h3-6,10H,1-2H3/q+1","JFVVCALPURGJLO-UHFFFAOYSA-N","?","24.85","spectrophotometric","b2/apparent","O-H","basic",-7.58
"10029","OC1(C=CC=CC=C1)","OC1C=CC=CC=C1","InChI=1S/C7H8O/c8-7-5-3-1-2-4-6-7/h1-8H","VYFFZXBJEZVYLO-UHFFFAOYSA-N","?","25",,"a1/apparent","COH2(1+)","basic",-7.0
"17016","S=C2(N(C(=O)C1(=CC=CC=C1))CC(N2)=O)","OC1CN(C(=O)C2C=CC=CC=2)C(=S)N=1","InChI=1S/C10H8N2O2S/c13-8-6-12(10(15)11-8)9(14)7-4-2-1-3-5-7/h1-5H,6H2,(H,11,13,15)","YTMVOQHVLQJLML-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-6.6
"10574","[Br]C1(=CC(C(SCC)=O)=CC=C1)","CCSC(=O)C1C=C(Br)C=CC=1","InChI=1S/C9H9BrOS/c1-2-12-9(11)7-4-3-5-8(10)6-7/h3-6H,2H2,1H3","FMRGUHUPPRFPEH-UHFFFAOYSA-N","?","25",,"a1/apparent","OH","basic",-5.53
"11450","SC(=O)C1(=CC=C(C)C=C1)","CC1=CC=C(C=C1)C(=O)S","InChI=1S/C8H8OS/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)","PJHWTWHVCOZCPU-UHFFFAOYSA-N","?","25",,"a1/apparent","OH","basic",-5.19
"14193","SC(=O)C1(=CC=C(OC)C=C1)","COC1C=CC(=CC=1)C(=O)S","InChI=1S/C8H8O2S/c1-10-7-4-2-6(3-5-7)8(9)11/h2-5H,1H3,(H,9,11)","YGAPOICUMNPIPF-UHFFFAOYSA-N","?","25",,"a1/apparent","OH","basic",-4.9
"10576","S(C(=O)C1(=CC(=CC=C1)C))CC","CC1C=C(C=CC=1)C(=O)SCC","InChI=1S/C10H12OS/c1-3-12-10(11)9-6-4-5-8(2)7-9/h4-7H,3H2,1-2H3","BMMBPKGCRIBKFY-UHFFFAOYSA-N","?","25",,"a1/apparent","OH","basic",-4.77
"10577","S(C(=O)C1(=CC=C(C)C=C1))CC","CC1C=CC(=CC=1)C(=O)SCC","InChI=1S/C10H12OS/c1-3-12-10(11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3","JJLWSRBOLXFWER-UHFFFAOYSA-N","?","25",,"a1/apparent","OH","basic",-4.2
"12548","O=[N+]([O-])C2(=CC=C(N1(N=NN=C1))C=C2)","[O-][N+](=O)C1C=CC(=CC=1)N1C=NN=N1","InChI=1S/C7H5N5O2/c13-12(14)7-3-1-6(2-4-7)11-5-8-9-10-11/h1-5H","NHYHTYJIILODSA-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-3.92
"13497","S(C(=O)C1(=CC=C(OC)C=C1))CC","CCSC(=O)C1C=CC(=CC=1)OC","InChI=1S/C10H12O2S/c1-3-13-10(11)8-4-6-9(12-2)7-5-8/h4-7H,3H2,1-2H3","SXWYEKVBZGARII-UHFFFAOYSA-N","?","25",,"a1/apparent","OH","basic",-3.77
"13344","O=C1(N(C=2(C=CC=CC=2(N1C)))CC)","CN1C2C=CC=CC=2N(CC)C1=O","InChI=1S/C10H12N2O/c1-3-12-9-7-5-4-6-8(9)11(2)10(12)13/h4-7H,3H2,1-2H3","ZIYRJIZPYNCEGL-UHFFFAOYSA-N","?","24.9","spectrophotometric","a1/apparent","?","basic",-3.7
"15302","S=C2(NC(SCC1(=CC=CC=C1))=C(N2)C3(=CC=CC=C3))","S=C1NC(SCC2C=CC=CC=2)C(=N1)C1C=CC=CC=1","InChI=1S/C16H14N2S2/c19-16-17-14(13-9-5-2-6-10-13)15(18-16)20-11-12-7-3-1-4-8-12/h1-10,15H,11H2,(H,18,19)","ROJARFQBGQQPCI-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-3.31
"13040","S=C(N)C1(=CC=CC=C1)","NC(=S)C1C=CC=CC=1","InChI=1S/C7H7NS/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)","QIOZLISABUUKJY-UHFFFAOYSA-N","?","24.9","spectrophotometric","a1/apparent","?","basic",-3.2
"13314","S=C1(NC(=S)C(N1)C2(=CC=CC=C2))","S=C1NC(C2C=CC=CC=2)C(=S)N1","InChI=1S/C9H8N2S2/c12-8-7(10-9(13)11-8)6-4-2-1-3-5-6/h1-5,7H,(H2,10,11,12,13)","SPODYUSINQXCQA-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-3.16
"16921","ClC3(=CC=C(C=CC1(=NN=NN1C2(=CC=C([N+](=O)[O-])C=C2)))C=C3)","[O-][N+](=O)C1C=CC(=CC=1)N1N=NN=C1C=CC1C=CC(Cl)=CC=1","InChI=1S/C15H10ClN5O2/c16-12-4-1-11(2-5-12)3-10-15-17-18-19-20(15)13-6-8-14(9-7-13)21(22)23/h1-10H","QFKOJFMFDGLDCO-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-3.05
"10696","ClC1(=C(N)C(Cl)=CC(=C1)[N+](=O)[O-])","NC1C(Cl)=CC(=CC=1Cl)[N+]([O-])=O","InChI=1S/C6H4Cl2N2O2/c7-4-1-3(10(11)12)2-5(8)6(4)9/h1-2H,9H2","BIXZHMJUSMUDOQ-UHFFFAOYSA-N","?","25","mean from 3","b1/apparent","NH2","basic",-2.98
"16690","N2(=NN(C1(=CC=CC=C1))C(=N2)C=CC3(=CC=CC=C3))","C(=CC1=NN=NN1C1C=CC=CC=1)C1C=CC=CC=1","InChI=1S/C15H12N4/c1-3-7-13(8-4-1)11-12-15-16-17-18-19(15)14-9-5-2-6-10-14/h1-12H","JGIUHBSOZRGDEX-UHFFFAOYSA-N","?, ?","25","spectrophotometric","a1/apparent","?, ?","basic",-2.5549999999999997
"17257","S=C(N)C","CC(N)=S","InChI=1S/C2H5NS/c1-2(3)4/h1H3,(H2,3,4)","YUKQRDCYNOVPGJ-UHFFFAOYSA-N","?","24.9","spectrophotometric","a1/apparent","?","basic",-2.51
"15084","O=[N+]([O-])C2(=CC=C(NC1(=CC=CC=C1))C=C2)","[O-][N+](=O)C1C=CC(=CC=1)NC1C=CC=CC=1","InChI=1S/C12H10N2O2/c15-14(16)12-8-6-11(7-9-12)13-10-4-2-1-3-5-10/h1-9,13H","XXYMSQQCBUKFHE-UHFFFAOYSA-N","?","25","mean from 3","a1/apparent","NH","basic",-2.5
