"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"12811","OC(C1(=CC=CC=C1))C","CC(O)C1C=CC=CC=1","InChI=1S/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3","WAPNOHKVXSQRPX-UHFFFAOYSA-N","?","25",,"a1/apparent","COH2(1+)","basic",-7.0
"10573","ClC1(=CC=C(C(SCC)=O)C=C1)","CCSC(=O)C1C=CC(Cl)=CC=1","InChI=1S/C9H9ClOS/c1-2-12-9(11)7-3-5-8(10)6-4-7/h3-6H,2H2,1H3","PUGWLRJVMNHOCL-UHFFFAOYSA-N","?","25",,"a1/apparent","?","basic",-5.02
"13467","O=C1(N(NC(N1)=O)C2(=CC=CC=C2))","O=C1NC(=O)N(N1)C1C=CC=CC=1","InChI=1S/C8H7N3O2/c12-7-9-8(13)11(10-7)6-4-2-1-3-5-6/h1-5H,(H2,9,10,12,13)","WFYLHMAYBQLBEM-UHFFFAOYSA-N","?",,"spectrophotometric","thermodynamic","prot.","basic",-4.1
"13748","N2(=NN(C1(=CC=CC=C1))C=N2)","C1=NN=NN1C1C=CC=CC=1","InChI=1S/C7H6N4/c1-2-4-7(5-3-1)11-6-8-9-10-11/h1-6H","IYPXPGSELZFFMI-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-3.41
"16402","O=[N+]([O-])C3(=CC=C(N1(N=NN=C1C=CC2(=CC=C([N+](=O)[O-])C=C2)))C=C3)","[O-][N+](=O)C1C=CC(=CC=1)N1N=NN=C1C=CC1C=CC(=CC=1)[N+]([O-])=O","InChI=1S/C15H10N6O4/c22-20(23)13-4-1-11(2-5-13)3-10-15-16-17-18-19(15)12-6-8-14(9-7-12)21(24)25/h1-10H","NVGLBHXAWIDTNG-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-3.15
"15286","ClC3(=CC=C(C=CC1(=NN=NN1C2(=CC=CC=C2)))C=C3)","ClC1C=CC(C=CC2=NN=NN2C2C=CC=CC=2)=CC=1","InChI=1S/C15H11ClN4/c16-13-9-6-12(7-10-13)8-11-15-17-18-19-20(15)14-4-2-1-3-5-14/h1-11H","XQYKTDFGLZDWLD-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-2.54
"12980","O[N+]1(=CC(NC)=CC=C1)","CNC1C=[N+](O)C=CC=1","InChI=1S/C6H9N2O/c1-7-6-3-2-4-8(9)5-6/h2-5,7,9H,1H3/q+1","OTVNBPXAUANWOA-UHFFFAOYSA-N","?","25","spectrophotometric","a2/apparent","?","basic",-2.42
"15131","O=C(N(O)C1(=CC=CC=C1))C2(=CC=CC=C2)","ON(C(=O)C1C=CC=CC=1)C1C=CC=CC=1","InChI=1S/C13H11NO2/c15-13(11-7-3-1-4-8-11)14(16)12-9-5-2-6-10-12/h1-10,16H","YLYIXDZITBMCIW-UHFFFAOYSA-N","?","25","mean from 3","a1/apparent","COH%+&","basic",-2.08
"11189","O=C1(N(C=CC2(=C1C=CC=C2))C)","CN1C=CC2C=CC=CC=2C1=O","InChI=1S/C10H9NO/c1-11-7-6-8-4-2-3-5-9(8)10(11)12/h2-7H,1H3","YJRMHIKEMDTYDR-UHFFFAOYSA-N","?","20","spectrophotometric","a/apparent","?","basic",-1.8
"14450","O=C(N)C1(=CC=C(OC)C=C1)","COC1C=CC(=CC=1)C(N)=O","InChI=1S/C8H9NO2/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H2,9,10)","GUCPYIYFQVTFSI-UHFFFAOYSA-N","?","18","spectrophotometric","a/apparent","?","basic",-1.6
