SMILES,pKa
Brc1c(NC2CC2)nc(C2CC2)nc1N1CCCCCC1,6.21
Brc1cc(Br)c(NC2=[NH+]CCN2)c(Br)c1,7.46
Brc1cc2cccnc2c2ncccc12,4.2
Brc1ccc(-c2nn[n-]n2)cc1,3.73
Brc1ccc(Br)c(N(CC2CC2)C2=[NH+]CCN2)c1,11.0
Brc1ccc(C2[NH2+]CCS2)cc1,5.05
Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,7.0
Brc1ccc(Cc2nn[n-]n2)cc1,4.62
Brc1ccc(N(CC2CC2)C2=[NH+]CCN2)c(Br)c1,11.2
Brc1ccc(N2CCc3ccccc3C2)nc1,3.0
Brc1ccc(NC2=[NH+]CCN2)cc1,9.65
Brc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,7.0
Brc1ccc2[nH+]c3c(c(N4CCOCC4)c2c1)CCC3,6.38
Brc1ccc2c(c1)CCN2,3.7
Brc1ccc2c(c1)c1c3n2CC[NH+](Cc2ccccc2)C3CCC1,6.95
Brc1cccc(-c2nn[n-]n2)c1,3.82
Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCC1,11.2
Brc1cccc(Br)c1N(C1=[NH+]CCN1)C1CCCCC1,11.3
Brc1cccc(Br)c1N(CC1CC1)C1=[NH+]CCN1,10.88
Brc1cccc(Br)c1N(CC1CCC1)C1=[NH+]CCN1,10.9
Brc1cccc(Br)c1N(CC1CCCC1)C1=[NH+]CCN1,10.9
Brc1cccc(Br)c1N(CC1CCCCC1)C1=[NH+]CCN1,11.2
Brc1cccc(Br)c1N(Cc1ccccc1)C1=[NH+]CCN1,10.4
Brc1cccc(Br)c1N(Cc1ccco1)C1=[NH+]CCN1,10.5
Brc1cccc(Br)c1N(Cc1cccs1)C1=[NH+]CCN1,10.51
Brc1cccc(Br)c1NC1=[NH+]CCN1,7.85
Brc1cccc(N(CC2CC2)C2=[NH+]CCN2)c1Br,11.1
Brc1cccc(N2CCc3ccccc3C2)n1,2.0
Brc1ccccc1-c1nn[n-]n1,3.83
Brc1ccccc1N(CC1CC1)C1=[NH+]CCN1,11.2
Brc1ccccc1Nc1c2ccccc2nc2ccccc12,6.41
Brc1cccnc1,2.94
Brc1ccnc2c1ccc1cccnc12,4.03
Brc1cnc2c(ccc3cc(Br)cnc32)c1,3.9
Brc1cncc2ccccc12,3.54
Brc1nn[n-]n1,2.13
C#CC#CC#CCC(O)CCC(=O)[O-],4.75
C#CC(C)(C(C)C)[NH+](C)C(C)C,8.7
C#CC(C)(C)Nc1ccccc1,4.26
C#CC(C)(C)[NH+](C)C(C)(C)C,9.3
C#CC(C)(C)[NH+](C)C(C)(C)C#C,6.65
C#CC(C)(C)[NH+](C)C(C)C,8.7
C#CC(C)(C)[NH+](CC)C(C)(C)C,9.6
C#CC(C)(C)[NH2+]C(C)(C)C#C,6.45
C#CC(C)(C)[NH2+]C(C)(C)C=C,8.2
C#CC(C)(C)[NH2+]C(C)(C)CC,9.0
C#CC(C)Nc1ccccc1,3.25
C#CC(CC)(CC)[NH+](C)C(C)C,8.8
C#CC(CC)(CC)[NH+](CC)C(C)C,8.2
C#CCC(=O)[O-],3.31
C#CCCC(=O)[O-],4.2
C#CCCCC(=O)[O-],4.6
C#CCCCCC(=O)[O-],4.58
C#CCCCCCC[NH3+],10.74
C#CCCCCC[NH3+],10.64
C#CCCCC[NH+](C)C,9.24
C#CCCCC[NH3+],10.5
C#CCCCCn1c[n+](C)c(CN=O)n1,7.34
C#CCCC[NH+](C)C,8.88
C#CCCC[NH3+],10.21
C#CCC[NH+](C)C,8.33
C#CCC[NH3+],9.23
C#CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.1
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.3
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.4
C#CCNN,5.46
C#CCNc1ccccc1,3.06
C#CCOc1noc2c1C[NH2+]CC2,7.6
C#CC[NH+](C)C,7.05
C#CC[NH+](C)[C@H](C)Cc1ccccc1,8.015
C#CC[NH+]1CCN(C(=O)OCC)CC1,5.44
C#CC[NH+]1CCOCC1,5.54
C#CC[NH2+]CC#C,6.08
C#CC[NH3+],8.19
C#C[C@]1(O)C[C@@H](C)[NH+](C)[C@@H]2CCCC[C@H]21,9.53
C#C[C@]1(O)C[C@@H](C)[NH+](C)[C@H]2CCCC[C@@H]21,8.99
C#C[C@]1(O)C[C@@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.73
C#C[C@]1(O)C[C@@H](C)[NH2+][C@H]2CCCC[C@@H]21,9.29
C#C[C@]1(O)C[C@H](C)[NH+](C)[C@@H]2CCCC[C@H]21,9.22
C#C[C@]1(O)C[C@H](C)[NH2+][C@@H]2CCCC[C@H]21,9.63
C#N,9.18
C(=C/c1ccccc1)\CN1CC[NH+](C(c2ccccc2)c2ccccc2)CC1,7.47
C(=C/c1ccncc1)\c1ccccc1,5.97
C(=C\c1ccncc1)\c1ccccc1,5.77
C(=N/c1ccccc1)\c1ccccc1,4.55
C(Nc1ccccc1)=[NH+]c1ccccc1,6.3
C/C(=C(\CCO)SSCCC(C)C)N(C=O)Cc1cnc(C)nc1N,5.58
C/C(=C/Cl)C(=O)[O-],3.05
C/C(=C\Cl)C(=O)[O-],4.03
C/C(=C\c1ccccc1)CC(=O)[O-],5.35
C/C(N)=N/[NH+](C)C,10.0
C/C(N)=[NH+]/O,5.9
C/C(O)=C/C(N)=O,9.46
C/C=C(/C)C(=O)[O-],4.3
C/C=C(\Cl)C(=O)[O-],3.22
C/C=C/C#CC(=O)[O-],2.67
C/C=C/C(=O)[O-],4.79
C/C=C/C1=C([O-])c2ccccc2C(=O)C1=O,4.78
C/C=C/C=C/C(=O)[O-],4.53
C/C=C/CC(=O)[O-],4.28
C/C=C/CCC(=O)[O-],4.72
C/C=C/CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.0
C/C=C/COc1noc2c1C[NH2+]CC2,7.7
C/C=C1/C[NH+]2[C@H]3C[C@@]45c6ccccc6N(C)[C@H]4[C@H]2C[C@H]1C3[C@H]5O,8.5
C/C=C\C=C/C(=O)[O-],4.51
C/N=C(/SC)c1ccccc1,6.42
C/N=C(\C)SC,7.71
C/N=C(\NC#N)Nc1cccc(-c2csc([NH+]=C(N)N)n2)c1,6.2
C/N=C1/CCCCC1C,9.47
C/N=c1/oc2c(n1C)CCCC2,10.23
C/N=c1/sc2c(n1C)CCCC2,10.0
C/N=c1/scc(C)n1C,9.97
C1=C(c2ccccc2)C2CC[NH+]1CC2,9.1
C1=C(c2ccco2)C2CC[NH+]1CC2,8.92
C1=C(c2nc3ccccc3o2)C2CC[NH+]1CC2,7.23
C1=C(c2nc3ccccc3s2)C2CC[NH+]1CC2,7.4
C1=C[NH+]2CCC1CC2,9.82
C1=NC(c2ccccc2)[NH2+]C1,6.48
C1=NC[NH2+]C1,6.99
C1CC2CC1NN2,7.94
C1CC2CCC1C[NH2+]2,11.0
C1CC2CCC[NH+]2C1,11.74
C1CCC(C2=NCCC2)CC1,6.05
C1CCC(C2CCC[NH2+]2)CC1,10.8
C1CCC([NH+]2CCCC2)CC1,10.7
C1CCC2C[NH2+]CCC2C1,10.95
C1CCC2[NH2+]CCCC2C1,10.9
C1CCC[NH2+]CC1,10.94
C1CCC[NH2+]CCC1,10.78
C1CCN(N2CCCC2)C1,7.16
C1CCN(N2CCCCC2)CC1,7.09
C1CCN2CCCCN2C1,6.79
C1CC[NH2+]C1,11.285
C1CC[NH2+]CC1,11.18
C1CCc2c(nnc3c2CCCC3)C1,6.12
C1CCc2nnc3c(c2CC1)CCCC3,6.03
C1CN2CCCN2C1,7.95
C1COC(NC(C2CC2)C2CC2)=[NH+]1,9.26
C1COCCOCc2n[nH]c(n2)COCCOCCO1,9.55
C1COCC[NH2+]1,8.4825
C1CSCC[NH2+]1,9.05
C1CSC[NH2+]1,6.31
C1C[NH+](CC2CO2)CCO1,5.88
C1C[NH+]2CCC1CC2,11.04
C1C[NH+]2CC[C@H]3CO[C@@H]1[C@H]32,9.44
C1C[NH+]=C2NCCC2C1,11.7
C1C[NH2+]1,6.05
C1C[NH2+]C1,10.995
C1OC1C[NH+](CC1CO1)CC1CO1,5.01
C=C(Br)COc1noc2c1C[NH2+]CC2,7.6
C=C(C(=O)O[C@@H]1C[C@H]2[C@H]3O[C@H]3[C@@H](C1)[NH+]2C)c1ccccc1,7.72
C=C(C)C(=O)NC(C)(C)CC[NH+](C)C,9.37
C=C(C)C(=O)NC(C)C[NH+](C)C,8.51
C=C(C)C(=O)NCCC[NH+](C)C,9.25
C=C(C)C(=O)NCC[NH+](C)C,8.54
C=C(C)C(=O)NCC[NH+](CC)CC,9.37
C=C(C)C(=O)OC(C)C[NH+](C)C,7.96
C=C(C)C(=O)OC(C)C[NH+](CC)CC,8.65
C=C(C)C(=O)OCCC[NH3+],9.62
C=C(C)C(=O)OCC[NH+](C(C)C)C(C)C,8.77
C=C(C)C(=O)OCC[NH+](C)C,8.06
C=C(C)C(=O)OCC[NH+](C)CCCC,8.27
C=C(C)C(=O)OCC[NH+](CC)CC,8.66
C=C(C)C(=O)OCC[NH2+]C,8.96
C=C(C)C(=O)OCC[NH2+]C(C)C,9.13
C=C(C)C(=O)OCC[NH2+]CC,9.15
C=C(C)C(=O)OCC[NH2+]CC(C)C,8.91
C=C(C)C(=O)OCC[NH2+]CCCC,9.12
C=C(C)C(=O)OCC[NH3+],8.7
C=C(C)C(=O)[O-],4.66
C=C(C)C(C)(C(N)=O)C(=O)[O-],3.42
C=C(C)C([NH3+])O,8.0
C=C(C)CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.9
C=C(C)CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.71
C=C(C)[C@@H]1CN(C(C)=O)[C@H](C(=O)OC)[C@@H]1CC(=O)[O-],4.6
C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(=O)OC,9.52
C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(N)=O,9.47
C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,3.5
C=C(CCCC)C(=O)[O-],4.8
C=C(F)C(=O)[O-],2.55
C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],9.4
C=C(OC)C(=O)[O-],3.38
C=C(SC1CCCCC1)C(=O)[O-],3.4
