FileHandle,SoluteName,SMILES,InChI,Sol,RB,MW
0008noc,n-octane,C(CCCC)CCC,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-4.18,5,114.1408506
0036tol,toluene,c1cc(ccc1)C,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-4.55,0,92.06260026
0045eth,ethanol,OCC,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",-4.36,0,46.04186481
0062dio,"1,4-dioxane",C1COCCO1,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-4.89,0,88.0524295
0076but,2-butanone,CCC(=O)C,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-3.78,1,72.05751488
0119met,2-methylpyridine,c1(ccccn1)C,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",-6.14,0,93.05784922
0041nap,naphthalene,c1c2c(ccc1)cccc2,InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,-6.97,0,128.0626003
0053phe,phenol,c1(ccccc1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",-8.69,0,94.04186481
0056mcr,m-cresol,c1ccc(cc1C)O,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",-8.2,0,108.0575149
0086eth,aceticacid,C(=O)(C)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",-6.35,0,60.02112937
0087pro,propanoicacid,O=C(CC)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",-6.86,1,74.03677943
0088but,butanoicacid,C(CC(=O)O)C,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",-7.58,2,88.0524295
0107tri,trimethylamine,N(C)(C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,-3.6,0,59.07349929
0111die,diethylamine,N(CC)CC,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",-4.75,2,73.08914935
0116pyr,pyridine,c1ccncc1,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,-5.34,0,79.04219916
0118ani,aniline,c1(ccccc1)N,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",-6.71,0,93.05784922
0228met,methylamine,NC,"InChI=1S/CH5N/c1-2/h2H2,1H3",-3.78,0,31.04219916
0506nit,nitromethane,CN(=O)=O,InChI=1S/CH3NO2/c1-2(3)4/h1H3,-3.51,0,61.01637834
0126eth,acetonitrile,C(#N)C,InChI=1S/C2H3N/c1-2-3/h1H3,-3.15,0,41.0265491
0084met,acetophenone,c1c(cccc1)C(=O)C,"InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",-6.74,1,120.0575149
