SMILES,InChI,Sol,RB,MW
CCCCC[N+](=O)[O-],"InChI=1S/C5H11NO2/c1-2-3-4-5-6(7)8/h2-5H2,1H3",-2.82,4,117.0789786
CCCCCCBr,"InChI=1S/C6H13Br/c1-2-3-4-5-6-7/h2-6H2,1H3",0.18,4,164.0200625
Nc1ccc(Cl)cc1,"InChI=1S/C6H6ClN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2",-5.9,0,127.0188769
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,"InChI=1S/C5H3F3N2O2/c6-5(7,8)2-1-9-4(12)10-3(2)11/h1H,(H2,9,10,11,12)",-15.46,0,180.014662
CCCCOCCCC,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",-0.83,6,130.1357652
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],"InChI=1S/C11H13F3N4O4/c1-3-16(4-2)9-7(17(19)20)5-6(11(12,13)14)8(15)10(9)18(21)22/h5H,3-4,15H2,1-2H3",-5.66,5,322.0888896
CC(C)C,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",2.3,0,58.07825032
CN(C)c1ccccc1,"InChI=1S/C8H11N/c1-9(2)8-6-4-3-5-7-8/h3-7H,1-2H3",-3.45,1,121.0891494
C#CCCCCCC,"InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3",0.71,4,110.1095504
CCCCCCCCCO,"InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3",-3.88,7,144.1514153
Clc1ccc(Cl)c(Cl)c1,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,-1.12,0,179.9300331
CCCCCC(C)=O,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",-3.04,4,114.1044651
CCc1ccncc1,"InChI=1S/C7H9N/c1-2-7-3-5-8-6-4-7/h3-6H,2H2,1H3",-4.73,1,107.0734993
COCCOC,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3",-4.84,3,90.06807956
Cc1ccc(C)c(C)c1,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",-0.86,0,120.0939004
CC=C(C)C,"InChI=1S/C5H10/c1-4-5(2)3/h4H,1-3H3",1.31,0,70.07825032
C=CC,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",1.32,0,42.04695019
CCSSCC,"InChI=1S/C4H10S2/c1-3-5-6-4-2/h3-4H2,1-2H3",-1.64,3,122.0223923
CCOC(=O)c1ccccc1,"InChI=1S/C9H10O2/c1-2-11-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3",-3.64,2,150.0680796
C[C@H]1CCCC[C@H]1C,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3/t7-,8+",1.58,0,112.1252005
CCCCO[N+](=O)[O-],"InChI=1S/C4H9NO3/c1-2-3-4-8-5(6)7/h2-4H2,1H3",-2.09,4,119.0582431
CCCCCCCN,"InChI=1S/C7H17N/c1-2-3-4-5-6-7-8/h2-8H2,1H3",-3.79,5,115.1360995
Clc1cc(Cl)c(Cl)cc1Cl,InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,-1.34,0,213.8910608
CCCCCC=O,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3",-2.81,4,100.088815
O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,"InChI=1S/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2/t3-,4+,7-,8+,19?",-4.23,0,403.8168811
C=CCCl,"InChI=1S/C3H5Cl/c1-2-3-4/h2H,1,3H2",-0.57,1,76.00797784
COC(=O)CCl,"InChI=1S/C3H5ClO2/c1-6-3(5)2-4/h2H2,1H3",-4,1,107.9978071
O=Cc1cccnc1,InChI=1S/C6H5NO/c8-5-6-2-1-3-7-4-6/h1-5H,-7.1,1,107.0371138
CC[C@@H](O)C(C)C,"InChI=1S/C6H14O/c1-4-6(7)5(2)3/h5-7H,4H2,1-3H3/t6-/m1/s1",-3.88,2,102.1044651
C#CCCC,"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3",0.01,1,68.06260026
