SMILES,InChI,HL,Sol,RB,MW
C=O,InChI=1S/CH2O/c1-2/h1H2,3.37E-07,-6.622026143,0,30.01056468
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",8.32E-06,-4.725041276,2,351.9146887
c1c2ccccc2c2ccc3cccc4ccc1c2c34,InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H,4.57E-07,-6.441813366,0,252.0939004
[O-][N+](=O)c1cc(ccc1O)[N+]([O-])=O,"InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H",8.60E-08,-7.430045315,2,184.0120212
CCN(CC)N=O,"InChI=1S/C4H10N2O/c1-3-6(4-2)5-7/h3-4H2,1-2H3",3.63E-06,-5.215762179,3,102.0793129
NC(=O)c1ccccc1,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)",2.45E-10,-10.89753528,1,121.0527638
ClC(Cl)(Cl)Cl,"InChI=1S/CCl4/c2-1(3,4)5",0.0276,0.071302591,0,151.8754107
CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",2.98E-07,-6.694791198,7,291.0330302
c1c2c3ccccc3ccc2cc2ccccc21,InChI=1S/C18H12/c1-2-7-15-12-18-16(11-14(15)6-1)10-9-13-5-3-4-8-17(13)18/h1-12H,1.20E-05,-4.508357691,0,228.0939004
OC(CO)CO,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",1.73E-08,-8.378817885,2,92.04734412
ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,"InChI=1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2",0.0002932,-2.617517729,0,405.7977716
"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|","InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+",3.18E-06,-5.294577997,0,287.8600663
O=NN1CCOCC1,InChI=1S/C4H8N2O2/c7-5-6-1-3-8-4-2-6/h1-4H2,2.45E-08,-8.172948103,1,116.0585775
OCCc1ccccc1,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",2.56E-07,-6.784670287,2,122.0731649
CCOCC,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",0.00123,-1.769161458,2,74.07316494
"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |o1:3,5,6,8,9,11,12,13|","InChI=1S/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2/t2-,3+,4+,5-,6-,7+,10+,11-",8.18E-06,-4.73508141,0,377.870631
Nc1ccccc1,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",2.02E-06,-5.562541172,0,93.05784922
CN(C)N=O,InChI=1S/C2H6N2O/c1-4(2)3-5/h1-2H3,1.82E-06,-5.6242258,1,74.04801281
CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",5.00E-06,-5.026317028,0,46.04186481
OC=O,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",1.67E-07,-7.037407754,0,46.0054793
CC(O)=O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",1.00E-07,-7.340812975,0,60.02112937
CCCCCC=O,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3",0.000213,-2.806582776,4,100.088815
